Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Create a Clustering Model with Azure Machine Learning designer,https://docs.microsoft.com/en-us/learn/modules/create-clustering-model-azure-machine-learning-designer/,10,"21,982","330,444",87.46%,"20,905","18,284","20,638",31,1836.074722,5.011576896,49,4.652656159,1713,,,azure-machine-learning,ai-engineer;data-scientist,beginner
Explore Azure networking services,https://docs.microsoft.com/en-us/learn/modules/azure-networking-fundamentals/,7,"38,472","323,443",61.36%,"34,771","21,335","22,557",127,20447.92861,31.89009453,38,4.66441303,1627,,,azure;azure-expressroute;azure-virtual-network;azure-vpn-gateway,administrator;developer;solution-architect;student,beginner
Explore Azure Storage services,https://docs.microsoft.com/en-us/learn/modules/azure-storage-fundamentals/,8,"33,282","315,917",74.59%,"29,722","22,169","23,257",139,8538.255278,15.39256405,27,4.776636714,1558,,,azure;azure-blob-storage;azure-files;azure-storage;azure-storage-accounts;azure-storage-explorer,administrator;developer;solution-architect;student,beginner
Build a cloud governance strategy on Azure,https://docs.microsoft.com/en-us/learn/modules/build-cloud-governance-strategy-azure/,12,"28,125","313,383",56.84%,"24,955","14,185","14,761",57,15325.38889,32.69416296,48,4.718421053,760,,,azure;azure-blueprints;azure-policy;azure-rbac,administrator;business-owner;business-user;developer;student;technology-manager,beginner
Protect against security threats on Azure (AZ-900),https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,8,"34,780","306,729",54.68%,"32,928","18,004","17,632",89,13215.94389,22.79921315,25,4.742530756,1138,"11,303","9,722",azure,administrator;business-owner;business-user;student;technology-manager,beginner
Introduction to Power BI,https://docs.microsoft.com/en-us/learn/modules/introduction-power-bi/,8,"53,302","293,186",20.88%,"42,862","8,948","6,999",150,13849.15972,15.5894635,46,4.813137033,883,,,power-bi,business-analyst;business-user;functional-consultant;student,beginner
Choose the best Azure IoT service for your application,https://docs.microsoft.com/en-us/learn/modules/iot-fundamentals/,8,"31,586","277,890",65.19%,"30,550","19,917","19,173",118,9752.785556,18.52615505,27,4.807633588,1310,,,azure;azure-iot-central;azure-iot-hub,administrator;business-owner;developer;student;technology-manager,beginner
Choose the best tools for managing and configuring your Azure environment (AZ-900),https://docs.microsoft.com/en-us/learn/modules/management-fundamentals/,10,"20,775","233,772",77.86%,"19,379","15,089","15,981",58,5774.478611,16.67719454,27,4.744270205,829,,,azure;azure-portal;azure-clis;azure-resource-manager,administrator;developer;business-owner;student;technology-manager,beginner
Get started with Power Apps canvas apps,https://docs.microsoft.com/en-us/learn/modules/get-started-with-powerapps/,9,"40,124","229,156",18.97%,"30,740","5,832","4,222",58,9215.363889,13.78032682,51,4.714801444,554,,,power-platform;power-apps,business-user;functional-consultant;maker,beginner
Secure network connectivity on Azure (AZ-900),https://docs.microsoft.com/en-us/learn/modules/secure-network-connectivity-azure/,9,"23,043","225,441",67.19%,"20,751","13,942","14,659",99,9524.083333,24.7990713,34,4.776839566,829,"6,538","6,050",azure,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Create an Azure Storage account,https://docs.microsoft.com/en-us/learn/modules/create-azure-storage-account/,7,"14,923","220,707",30.18%,"13,045","3,937","4,294",12,4408.669167,17.72566843,30,4.772727273,242,"9,844","7,094",azure;azure-storage;azure-portal,administrator;developer;data-engineer;solution-architect,beginner
Choose the best AI service for your needs,https://docs.microsoft.com/en-us/learn/modules/ai-machine-learning-fundamentals/,8,"25,120","220,622",76.42%,"22,560","17,240","17,603",96,7135.029444,17.04226778,23,4.812023709,1181,,,azure;azure-bot-service;azure-cognitive-services;azure-machine-learning,administrator;business-owner;developer;student;technology-manager,beginner
Plan and manage your Azure costs (AZ-900),https://docs.microsoft.com/en-us/learn/modules/plan-manage-azure-costs/,8,"25,941","214,137",64.96%,"23,612","15,338","15,145",88,9868.203889,22.82457243,43,4.797066015,818,,,azure,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Choose the best tools to help organizations build better solutions (AZ-900),https://docs.microsoft.com/en-us/learn/modules/azure-devops-devtest-labs/,8,"21,402","201,382",77.40%,"19,910","15,411","16,361",73,6185.149444,17.33991995,21,4.733256351,866,,,azure;azure-devops,administrator;developer;business-owner;student;technology-manager,beginner
Classify images with the Custom Vision service,https://docs.microsoft.com/en-us/learn/modules/classify-images-custom-vision/,6,"21,253","195,326",87.59%,"20,406","17,874","20,070",220,1502.944167,4.243008046,37,4.739325843,890,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
"Choose the best monitoring service for visibility, insight, and outage mitigation (AZ-900)",https://docs.microsoft.com/en-us/learn/modules/monitoring-fundamentals/,8,"20,292","191,680",77.53%,"19,035","14,758","15,654",15,4537.371944,13.41623875,22,4.77106383,1175,,,azure;azure-advisor;azure-monitor;azure-service-health,administrator;developer;business-owner;student;technology-manager,beginner
Analyze images with the Computer Vision service,https://docs.microsoft.com/en-us/learn/modules/analyze-images-computer-vision/,5,"23,119","190,942",82.49%,"22,284","18,382","20,479",331,1819.083333,4.721008694,28,4.72745491,998,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Discover data analysis,https://docs.microsoft.com/en-us/learn/modules/data-analytics-microsoft/,6,"31,410","188,933",39.44%,"28,942","11,415","9,499",139,9609.826944,18.35688051,36,4.802640723,1439,,,power-bi;power-platform,data-analyst,intermediate
Choose the best Azure serverless technology for your business scenario (AZ-900),https://docs.microsoft.com/en-us/learn/modules/serverless-fundamentals/,7,"22,311","180,684",78.97%,"20,583","16,255","17,217",69,5104.2025,13.72650935,20,4.787254902,1020,,,azure;azure-functions;azure-logic-apps,administrator;developer;business-owner;student;technology-manager,beginner
Plan and configure the global address book in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/plan-config-global-address-book-finance-operations/,7,"1,656","180,487",20.06%,"1,610",323,294,4,5394.834444,195.4650161,59,4.952380952,21,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,intermediate
"Examine privacy, compliance, and data protection standards on Azure (AZ-900)",https://docs.microsoft.com/en-us/learn/modules/examine-privacy-compliance-data-protection-standards/,9,"17,346","178,955",75.26%,"16,202","12,193","12,813",17,4963.303611,17.16812041,27,4.765743073,794,,,azure,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Build a bot with QnA Maker and Azure Bot Service,https://docs.microsoft.com/en-us/learn/modules/build-faq-chatbot-qna-maker-azure-bot-service/,5,"21,242","177,593",87.11%,"20,121","17,528","19,452",,1238.467778,3.498167153,29,4.715246637,1338,,,azure-bot-service;azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Introduction to Microsoft Power Platform,https://docs.microsoft.com/en-us/learn/modules/introduction-power-platform/,7,"23,742","172,019",39.62%,"20,371","8,070","7,302",83,7726.743056,19.52677042,33,4.78375,800,,,power-apps;power-automate;power-bi;power-platform,business-analyst;business-user,beginner
Host a web application with Azure App Service,https://docs.microsoft.com/en-us/learn/modules/host-a-web-app-with-azure-app-service/,8,"13,290","171,379",21.92%,"10,200","2,236","2,451",11,2539.673611,11.46579508,31,4.772222222,180,"7,060","5,128",azure;azure-app-service;azure-portal,developer;solution-architect;student,beginner
Secure access to your applications by using Azure identity services (AZ-900),https://docs.microsoft.com/en-us/learn/modules/secure-access-azure-identity-services/,6,"22,823","159,407",70.84%,"21,816","15,454","14,847",70,7505.029444,19.73017424,17,4.822560203,789,,,azure;azure-active-directory,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Analyze receipts with the Form Recognizer service,https://docs.microsoft.com/en-us/learn/modules/analyze-receipts-form-recognizer/,5,"19,583","159,324",91.44%,"18,972","17,348","19,688",18,759.4172222,2.326764711,24,4.682634731,1169,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Analyze text with the Text Analytics service,https://docs.microsoft.com/en-us/learn/modules/analyze-text-with-text-analytics-service/,5,"20,638","158,101",87.21%,"20,093","17,524","19,656",215,1398.504167,4.065813063,36,4.75308642,810,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Detect objects in images with the Custom Vision service,https://docs.microsoft.com/en-us/learn/modules/detect-objects-images-custom-vision/,5,"19,918","157,141",90.71%,"19,347","17,549","19,866",221,1037.009167,3.123835224,39,4.716666667,840,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Create a language model with Language Understanding,https://docs.microsoft.com/en-us/learn/modules/create-language-model-with-language-understanding/,5,"19,768","156,870",91.20%,"18,913","17,249","19,328",26,1112.434722,3.376471233,39,4.738388626,1055,,,azure;azure-bot-service;azure-cognitive-services;azure-language-understanding;azure-sdks,ai-engineer;developer;solution-architect;student,intermediate
Detect and analyze faces with the Face service,https://docs.microsoft.com/en-us/learn/modules/detect-analyze-faces/,5,"19,883","155,622",90.96%,"19,307","17,562","19,818",216,989.0572222,2.984631762,24,4.713261649,837,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Read text with the Computer Vision service,https://docs.microsoft.com/en-us/learn/modules/read-text-computer-vision/,5,"19,619","151,529",91.13%,"19,124","17,428","19,732",183,880.7430556,2.693541125,24,4.723958333,768,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Recognize and synthesize speech,https://docs.microsoft.com/en-us/learn/modules/recognize-synthesize-speech/,5,"19,482","150,727",90.99%,"18,875","17,175","19,400",173,927.6783333,2.857032132,29,4.762872629,738,,,azure;azure-cognitive-services;azure-sdks,ai-engineer;developer;solution-architect;student,intermediate
Translate text and speech,https://docs.microsoft.com/en-us/learn/modules/translate-text-with-translation-service/,5,"19,196","148,284",92.27%,"18,674","17,231","19,351",167,805.1544444,2.516631937,29,4.751724138,725,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Choose the right Azure services by examining service-level agreements (SLAs) and service lifecycle (AZ-900),https://docs.microsoft.com/en-us/learn/modules/choose-azure-services-sla-lifecycle/,7,"17,535","146,787",74.67%,"16,177","12,079","12,738",24,5006.979722,17.13252257,27,4.811258278,906,,,azure,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Get data in Power BI,https://docs.microsoft.com/en-us/learn/modules/get-data/,12,"15,985","143,057",28.59%,"14,940","4,271","4,291",24,8422.115833,31.61257116,85,4.703504043,371,,,power-bi;power-platform,data-analyst,intermediate
What is Microsoft 365?,https://docs.microsoft.com/en-us/learn/modules/what-is-m365/,7,"18,188","135,883",41.95%,"15,880","6,662","5,605",68,3733.111944,12.31508229,17,4.783636364,550,,,m365,administrator,beginner
Choose a data storage approach in Azure,https://docs.microsoft.com/en-us/learn/modules/choose-storage-approach-in-azure/,6,"15,437","134,778",66.23%,"13,070","8,656","8,766",108,3903.613889,15.17243204,30,4.781305115,567,,,azure;azure-storage;azure-sql-database;azure-cosmos-db,developer,beginner
Get data with Power BI Desktop,https://docs.microsoft.com/en-us/learn/modules/get-data-power-bi/,9,"23,505","132,728",30.24%,"18,744","5,669","5,101",67,3842.556111,9.808694604,75,4.758364312,538,,,power-platform;power-bi,business-analyst;data-analyst,intermediate
Write your first C# code,https://docs.microsoft.com/en-us/learn/modules/csharp-write-first/,7,"19,968","128,017",35.58%,"18,217","6,482","5,039",60,3309.268333,9.943714944,17,4.89132948,865,,,dotnet,developer;student,beginner
Introduction to Dataverse,https://docs.microsoft.com/en-us/learn/modules/introduction-common-data-service/,9,"14,341","125,836",50.82%,"12,483","6,344","6,113",32,5695.82,23.83022104,37,4.767985612,556,,,common-data-service;power-platform,business-analyst;business-user,beginner
Introduction to Azure virtual machines,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-virtual-machines/,8,"20,374","122,710",59.17%,"15,309","9,059","9,723",64,4559.682778,13.42794575,67,4.737261146,628,1,1,azure;azure-virtual-machines,administrator;developer;solution-architect;student,beginner
Explore core data concepts,https://docs.microsoft.com/en-us/learn/modules/explore-core-data-concepts/,6,"16,587","108,022",42.01%,"15,825","6,648","6,005",72,7269.240833,26.29495689,25,4.872696817,597,,,azure,administrator;business-user;data-engineer,beginner
Get started with Power Automate,https://docs.microsoft.com/en-us/learn/modules/get-started-flows/,11,"20,991","102,407",17.58%,"15,053","2,647","2,310",16,4062.948889,11.61340257,76,4.704035874,223,,,power-platform;power-automate,business-user;maker;functional-consultant,beginner
"Clean, transform, and load data in Power BI",https://docs.microsoft.com/en-us/learn/modules/clean-data-power-bi/,10,"12,574","97,257",37.03%,"9,954","3,686","3,785",15,5698.875833,27.19361778,121,4.769825919,517,,,power-bi;power-platform,data-analyst,intermediate
Design a data model in Power BI ,https://docs.microsoft.com/en-us/learn/modules/design-model-power-bi/,11,"12,259","92,905",27.22%,"10,742","2,924","2,967",17,6580.361667,32.20668081,128,4.794759825,229,,,power-bi;power-platform,data-analyst,intermediate
Create a web API with ASP.NET Core,https://docs.microsoft.com/en-us/learn/modules/build-web-api-aspnet-core/,9,"16,276","90,746",17.00%,"10,343","1,758","1,164",10,3745.1175,13.8060365,41,4.838888889,180,,,dotnet;aspnet-core,developer;student,beginner
Configure Azure resources with tools,https://docs.microsoft.com/en-us/learn/modules/configure-azure-resources-tools/,7,"11,983","90,162",51.15%,"11,582","5,924","5,781",32,2498.723056,12.51133968,21,4.785553047,443,,,azure,administrator,beginner
Design your migration to Azure,https://docs.microsoft.com/en-us/learn/modules/design-your-migration-to-azure/,6,"9,687","85,171",68.54%,"6,872","4,710","4,959",89,1973.812222,12.2255325,44,4.755617978,356,,,azure,solution-architect,intermediate
Choose the best Azure service to automate your business processes,https://docs.microsoft.com/en-us/learn/modules/choose-azure-service-to-integrate-and-automate-business-processes/,7,"12,538","84,188",28.79%,"11,804","3,398","3,313",19,5368.174444,25.68914234,44,4.720689655,290,,,azure,developer,beginner
Create a Linux virtual machine in Azure,https://docs.microsoft.com/en-us/learn/modules/create-linux-virtual-machine-in-azure/,9,"10,702","84,037",50.44%,"9,143","4,612","4,848",95,2539.673889,14.23850059,86,4.807142857,280,"6,209","3,681",azure;azure-portal;azure-virtual-machines,administrator;developer;student,beginner
Explore what Power BI can do for you,https://docs.microsoft.com/en-us/learn/modules/explore-power-bi-service/,7,"20,782","82,345",14.05%,"17,781","2,498","2,003",43,3781.732778,10.91829307,69,4.737588652,282,,,power-bi;power-platform,business-user;data-analyst,beginner
Manage application configuration and secrets in Azure Kubernetes Service (AKS),https://docs.microsoft.com/en-us/learn/modules/aks-secrets-configure-app/,6,"55,047","77,609",0.04%,"54,476",23,26,,245.5808333,0.267677621,44,5,1,"6,313","6,261",azure;azure-kubernetes-service,developer;solution-architect;student,beginner
Create a Windows virtual machine in Azure,https://docs.microsoft.com/en-us/learn/modules/create-windows-virtual-machine-in-azure/,7,"13,887","77,544",36.48%,"10,983","4,007","4,161",59,1554.199444,6.715054847,51,4.735159817,219,"2,361","1,750",azure;azure-virtual-machines,administrator;developer;student,beginner
Introduction to Power Apps,https://docs.microsoft.com/en-us/learn/modules/introduction-power-apps/,6,"12,518","76,333",58.76%,"9,899","5,817","5,468",30,2755.134722,13.20563056,28,4.813084112,428,,,power-apps;power-platform,business-analyst;business-user;functional-consultant,beginner
Control Azure services with the CLI,https://docs.microsoft.com/en-us/learn/modules/control-azure-services-with-cli/,6,"6,758","75,519",40.14%,"5,735","2,302","2,590",4,1578.830556,14.01743613,34,4.834782609,115,"4,376","3,537",azure;azure-clis,developer;administrator;student,beginner
Facilitate meetings and events with Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/facilitate-meetings-events-microsoft-teams/,7,"24,112","74,944",12.61%,"11,950","1,507",736,11,1069.404722,2.66109337,36,4.769230769,78,,,m365;office-teams,business-analyst;business-owner;business-user;student,beginner
Model data in Power BI,https://docs.microsoft.com/en-us/learn/modules/model-data-power-bi/,9,"11,639","73,264",43.74%,"8,184","3,580","3,558",27,2568.494167,13.24079818,67,4.731543624,298,,,power-platform;power-bi,business-analyst;data-analyst,intermediate
Connect an app to Azure Storage,https://docs.microsoft.com/en-us/learn/modules/connect-an-app-to-azure-storage/,12,"6,178","72,805",57.05%,"5,127","2,925","3,078",12,2283.729444,22.1793083,65,4.617647059,170,"3,007","2,393",azure;azure-storage;azure-cloud-shell,developer,beginner
Introduction to creating measures using DAX in Power BI,https://docs.microsoft.com/en-us/learn/modules/create-measures-dax-power-bi/,10,"11,151","72,195",28.57%,"8,158","2,331","2,345",14,4192.313333,22.55751054,160,4.754716981,159,,,power-bi;power-platform,data-analyst,intermediate
Microsoft 365 productivity and teamwork solutions,https://docs.microsoft.com/en-us/learn/modules/microsoft-365-productivity-teamwork-solutions/,11,"6,801","71,109",68.74%,"5,863","4,030","4,043",18,1866.427778,16.46605891,25,4.777070064,314,,,m365;office-365,business-owner;business-user,beginner
How to build a canvas app,https://docs.microsoft.com/en-us/learn/modules/build-app-solution/,7,"9,980","69,585",52.21%,"8,683","4,533","4,544",17,3047.960278,18.32441049,56,4.832298137,322,,,power-apps;power-platform,business-analyst;business-user,beginner
Explore roles and responsibilities in the world of data,https://docs.microsoft.com/en-us/learn/modules/explore-roles-responsibilities-world-of-data/,7,"8,759","69,176",71.03%,"7,771","5,520","5,515",40,2443.575278,16.73872778,16,4.840384615,520,,,azure,administrator;business-user;data-engineer,beginner
Get introduced to the customer engagement apps,https://docs.microsoft.com/en-us/learn/modules/get-introduced-to-dynamics-365-customer-engagement-apps/,11,"6,636","67,320",36.59%,"6,155","2,252","1,957",25,2967.508056,26.83099508,67,4.762162162,185,,,dynamics-365;dynamics-customer-service;dynamics-field-service;dynamics-marketing;dynamics-sales,business-owner;business-user;student,beginner
Create serverless logic with Azure Functions,https://docs.microsoft.com/en-us/learn/modules/create-serverless-logic-with-azure-functions/,6,"8,070","65,375",33.23%,"6,955","2,311","2,650",12,3355.155556,24.94539447,36,4.771084337,249,"5,284","3,952",azure;azure-functions;azure-portal,developer;solution-architect;student,beginner
Automate Azure tasks using scripts with PowerShell,https://docs.microsoft.com/en-us/learn/modules/automate-azure-tasks-with-powershell/,9,"8,069","65,307",54.63%,"6,306","3,445","3,683",24,3140.630278,23.35330483,71,4.859903382,207,"3,628","2,867",azure,developer;administrator,beginner
How to build a simple dashboard,https://docs.microsoft.com/en-us/learn/modules/build-simple-dashboard/,8,"9,325","64,935",45.31%,"7,787","3,528","3,485",26,1857.874722,11.95415371,41,4.83490566,212,,,power-bi,business-analyst;business-user,beginner
Set up your Python beginner development environment with Visual Studio Code,https://docs.microsoft.com/en-us/learn/modules/python-install-vscode/,8,"12,480","64,909",23.05%,"8,504","1,960","1,425",18,1082.332222,5.203520299,28,4.779411765,204,,,vs-code,developer;student,beginner
Use Azure Resource Manager,https://docs.microsoft.com/en-us/learn/modules/use-azure-resource-manager/,10,"6,302","64,755",71.07%,"5,655","4,019","4,352",18,2529.584444,24.08363482,30,4.85440613,261,,,azure,administrator,beginner
Introduction to Power Automate,https://docs.microsoft.com/en-us/learn/modules/introduction-power-automate/,6,"11,228","64,354",54.23%,"8,403","4,557","4,187",25,2315.180556,12.37182342,30,4.839041096,292,,,power-automate;power-platform,business-analyst;business-user;functional-consultant,beginner
"Build a simple website using HTML, CSS, and JavaScript",https://docs.microsoft.com/en-us/learn/modules/build-simple-website/,7,"16,123","62,174",9.34%,"8,612",804,449,22,1906.991111,7.096661085,44,4.701612903,124,,,windows;vs-code,developer;student,beginner
Create a data-driven story with Power BI reports,https://docs.microsoft.com/en-us/learn/modules/data-driven-story-power-bi/,15,"5,389","60,465",46.75%,"4,545","2,125","2,225",11,3300.878889,36.75129585,104,4.8,175,,,power-bi;power-platform,data-analyst,intermediate
How to build a model-driven app,https://docs.microsoft.com/en-us/learn/modules/how-build-model-driven-app/,8,"6,956","59,458",62.39%,"6,071","3,788","3,857",12,2946.365,25.4143042,77,4.630705394,241,,,power-apps;power-platform,business-analyst;developer;maker,beginner
Work with Power BI visuals,https://docs.microsoft.com/en-us/learn/modules/visuals-power-bi/,10,"7,512","59,076",35.84%,"7,053","2,528","2,545",10,2803.136111,22.38926606,73,4.740506329,158,,,power-bi;power-platform,data-analyst,intermediate
Secure your Azure Storage account,https://docs.microsoft.com/en-us/learn/modules/secure-azure-storage-account/,8,"7,129","58,724",66.16%,"5,748","3,803","3,897",34,2325.064167,19.56850189,45,4.679347826,184,,,azure;azure-storage,administrator;data-engineer;solution-architect;security-engineer,beginner
Introduction to Python,https://docs.microsoft.com/en-us/learn/modules/intro-to-python/,8,"12,829","57,417",23.32%,"6,865","1,601","1,013",32,1511.723056,7.070183439,16,4.842519685,127,"1,644","1,307",azure,developer;student,beginner
Explore relational data services in Azure,https://docs.microsoft.com/en-us/learn/modules/explore-relational-data-offerings/,8,"6,417","57,005",57.58%,"6,186","3,562","3,554",16,3659.161389,34.21375773,30,4.804255319,235,,,azure,administrator;business-user;data-engineer;student,beginner
Explore provisioning and deploying relational database services in Azure,https://docs.microsoft.com/en-us/learn/modules/explore-provision-deploy-relational-database-offerings-azure/,8,"6,278","56,953",54.97%,"5,861","3,222","3,314",6,2605.7225,24.90336891,31,4.801886792,212,"3,871","2,460",azure,administrator;business-user;data-engineer,beginner
Describe security concepts and methodologies,https://docs.microsoft.com/en-us/learn/modules/describe-security-concepts-methodologies/,9,"7,035","56,850",41.60%,"6,748","2,807","2,568",19,2595.836111,22.13932717,26,4.896414343,251,,,azure;m365,business-user;student,beginner
Store and retrieve data using literal and variable values in C#,https://docs.microsoft.com/en-us/learn/modules/csharp-literals-variables/,9,"6,038","56,407",60.77%,"5,267","3,201","3,297",20,2220.864444,22.0688749,26,4.886051081,509,,,dotnet,developer;student,beginner
Describe concepts of relational data,https://docs.microsoft.com/en-us/learn/modules/describe-concepts-of-relational-data/,6,"7,684","56,228",70.59%,"7,131","5,034","5,138",33,2876.143889,22.45817716,19,4.807256236,441,,,azure,administrator;business-user;data-engineer,beginner
Control and organize Azure resources with Azure Resource Manager,https://docs.microsoft.com/en-us/learn/modules/control-and-organize-with-azure-resource-manager/,8,"8,505","56,026",56.13%,"6,325","3,550","3,743",19,2280.560278,16.08860866,46,4.80608365,263,,,azure;azure-resource-manager,solution-architect;administrator,intermediate
Use visuals in Power BI,https://docs.microsoft.com/en-us/learn/modules/visuals-in-power-bi/,10,"7,453","54,441",51.20%,"5,584","2,859","2,894",26,1612.118889,12.97828168,76,4.771300448,223,,,power-platform;power-bi,business-analyst;data-analyst,intermediate
Create an Azure account,https://docs.microsoft.com/en-us/learn/modules/create-an-azure-account/,7,"12,129","53,836",37.89%,"6,856","2,598","2,460",22,1404.287222,6.946758458,39,4.826923077,208,,,azure;azure-portal,administrator;solution-architect;developer;security-engineer;student,beginner
"Engage employees with Microsoft Stream, Teams, and Yammer",https://docs.microsoft.com/en-us/learn/modules/engage-employees-with-microsoft-stream-teams-yammer/,9,"5,888","53,649",69.69%,"5,209","3,630","3,551",8,1850.611944,18.85813802,40,4.728033473,239,,,m365;office-365,business-owner;business-user,beginner
Microsoft Azure Well-Architected Framework - Security,https://docs.microsoft.com/en-us/learn/modules/azure-well-architected-security/,8,"8,058","53,228",26.80%,"7,380","1,978","1,997",41,4458.679444,33.19940018,62,4.808510638,235,,,azure;azure-active-directory,solution-architect;security-engineer,intermediate
Introduction to Power Apps portals,https://docs.microsoft.com/en-us/learn/modules/introduction-power-apps-portals/,8,"6,489","53,214",65.90%,"5,455","3,595","3,588",13,2225.225556,20.57536344,46,4.809756098,205,,,power-apps;power-platform,business-analyst;developer;maker,beginner
How to build an automated solution,https://docs.microsoft.com/en-us/learn/modules/build-automated-solution/,8,"6,992","53,124",57.31%,"6,048","3,466","3,481",16,2309.896667,19.82176773,78,4.778350515,194,,,dynamics-365;dynamics-finance-operations;power-platform,business-user,beginner
Explore concepts of non-relational data,https://docs.microsoft.com/en-us/learn/modules/explore-concepts-of-non-relational-data/,6,"7,103","53,037",71.12%,"6,661","4,737","4,875",23,3204.075833,27.06526116,24,4.787878788,330,,,azure,administrator;business-user;data-engineer,beginner
Explore concepts of data analytics,https://docs.microsoft.com/en-us/learn/modules/explore-concepts-of-data-analytics/,6,"7,368","52,914",68.05%,"6,707","4,564","4,736",9,2401.3125,19.55466205,15,4.830508475,472,,,azure,administrator;business-user;data-engineer;student,beginner
