Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Get more done and stay secure with Windows 10,https://docs.microsoft.com/en-us/learn/modules/get-done-stay-secure-with-windows-10/,8,"5,024","42,995",71.43%,"4,351","1,550","1,637",5,654.3497222,15.67304724,30,4.863013699,73,,,m365;office-365,business-owner;business-user,beginner
Get more done with Office across all devices,https://docs.microsoft.com/en-us/learn/modules/get-more-done-with-office-across-devices/,6,"7,743","51,704",73.49%,"6,647","2,445","2,563",6,946.0372222,14.70143313,19,4.807453416,161,,,m365;office-365,business-owner;business-user,beginner
Get started building with Power BI,https://docs.microsoft.com/en-us/learn/modules/get-started-with-power-bi/,6,"194,002","779,577",28.87%,"118,378","17,123","13,540",243,17565.54694,10.88233951,40,4.803496082,"1,659",,,power-platform;power-bi,business-user;business-analyst;functional-consultant,beginner
Get started securing your Microsoft Teams environment,https://docs.microsoft.com/en-us/learn/modules/m365-teams-secure-environment/,7,545,"3,316",62.08%,483,149,145,,37.55444444,8.314637146,21,4.428571429,7,,,office-teams;m365,administrator,intermediate
Get started with a Finance and Operations implementation project,https://docs.microsoft.com/en-us/learn/modules/get-started-implementation-project/,7,957,"4,444",37.98%,733,139,134,,81.45805556,10.22486053,49,5,6,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant;solution-architect;developer,intermediate
Get started with AI Builder,https://docs.microsoft.com/en-us/learn/modules/get-started-with-ai-builder/,6,"6,396","27,365",28.41%,"5,072",719,596,3,481.4502778,9.049817251,30,4.454545455,33,,,ai-builder;power-platform;power-automate,business-user;maker,beginner
Get started with AI Builder licensing,https://docs.microsoft.com/en-us/learn/modules/get-started-with-ai-builder-licensing/,6,447,"1,328",16.82%,215,18,19,,22.33638889,6.009790732,40,,,,,ai-builder;power-platform;power-automate,maker;business-user,beginner
Get started with AI on Azure,https://docs.microsoft.com/en-us/learn/modules/get-started-ai-fundamentals/,10,"39,016","359,592",38.56%,"34,087","6,536","6,439",36,5753.620833,17.73437018,34,4.799457995,"1,476",,,azure-bot-service;azure-cognitive-services;azure-machine-learning,ai-engineer;data-scientist;student,beginner
Get started with Asset Management for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-asset-management/,10,829,"4,710",25.55%,456,58,50,2,107.5319444,15.62207425,86,5,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,beginner
Get started with Azure Advisor,https://docs.microsoft.com/en-us/learn/modules/get-started-azure-advisor/,9,532,"2,166",27.78%,288,40,42,1,51.43166667,11.60112782,37,,,,,azure;azure-advisor,administrator;business-owner;technology-manager,beginner
Get started with Azure Databricks,https://docs.microsoft.com/en-us/learn/modules/get-started-azure-databricks/,7,"1,808","11,660",45.83%,"1,520",346,354,1,316.235,21.1057842,21,4.75,20,,,azure-databricks,data-scientist,intermediate
Get started with Azure Quantum,https://docs.microsoft.com/en-us/learn/modules/get-started-azure-quantum/,7,"1,232","6,506",18.76%,"1,103",103,107,1,190.8347222,18.67876563,24,4.8,15,,,azure-quantum,developer,beginner
Get started with configuration in Dynamics 365,https://docs.microsoft.com/en-us/learn/modules/get-started-configuration-dynamics-365/,7,"1,118","5,672",33.67%,792,133,118,1,177.7108333,19.10869176,16,4.666666667,6,,,common-data-service;dynamics-365;dynamics-customer-service;dynamics-field-service;dynamics-marketing;dynamics-sales,administrator;business-analyst;business-user;developer;functional-consultant,beginner
Get started with Connected Customer Service for Dynamics 365 and Azure IoT,https://docs.microsoft.com/en-us/learn/modules/set-up-connected-customer-service/,6,102,488,26.32%,76,10,10,1,7.165833333,8.430392157,40,5,1,,,dynamics-365;dynamics-customer-service,functional-consultant;business-user,intermediate
Get started with Connected Field Service for Dynamics 365 and Azure IoT,https://docs.microsoft.com/en-us/learn/modules/get-started-with-connected-field-service/,7,144,738,24.49%,98,12,11,,9.809444444,8.174537037,66,,,,,dynamics-365;dynamics-field-service;azure;azure-iot-central,business-user;functional-consultant,intermediate
Get started with cost accounting in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/cost-accounting-dynamics-365-business-central/,5,318,"1,674",41.09%,258,53,36,1,18.41111111,6.947589099,28,4.5,2,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate
Get started with cost accounting in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/get-started-cost-accounting-dyn365-finance/,6,868,"4,008",21.60%,678,73,64,,71.56027778,9.915973826,56,5,4,,,dynamics-365;dynamics-finance;dynamics-finance-operations,business-user;functional-consultant,beginner
Get started with custom connectors in Power Automate,https://docs.microsoft.com/en-us/learn/modules/get-started-custom-connector/,8,601,"2,860",22.63%,486,55,55,,72.73333333,14.54666667,40,3,1,,,power-automate;power-platform,maker,intermediate
Get started with Customer Service Insights,https://docs.microsoft.com/en-us/learn/modules/get-started-customer-service-insights/,7,793,"3,412",29.69%,640,95,77,,78.67722222,11.92079125,66,5,3,,,dynamics-365;dynamics-customer-service;dynamics-cust-svc-insights,business-user;functional-consultant,intermediate
Get started with development using X++ in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/get-started-xpp-finance-operations/,11,"1,666","14,744",31.49%,"1,197",188,167,,426.9222222,30.86184739,49,4.769230769,13,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,developer,beginner
Get started with discrete manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-discrete-manufacturing-dyn365-supply-chain-mgmt/,13,505,"3,516",28.74%,336,48,50,,165.6847222,39.60590969,130,5,2,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate
Get started with Django,https://docs.microsoft.com/en-us/learn/modules/django-get-started/,9,"1,480","8,522",24.63%,944,116,93,2,142.2572222,11.54997745,32,4.846153846,13,,,azure;vs-code;azure-app-service,student;developer,intermediate
Get started with Dynamics 365 Commerce channels,https://docs.microsoft.com/en-us/learn/modules/get-started-commerce-channels/,7,556,"3,312",51.58%,442,114,101,2,78.35305556,16.91073141,62,4.888888889,9,,,dynamics-365;dynamics-commerce,functional-consultant;business-user;administrator;solution-architect;developer,beginner
Get started with Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/modules/get-started-with-dynamics-365-for-customer-service/,5,"3,328","15,322",36.10%,"2,328",418,308,2,439.1455556,15.89187776,36,4.777777778,18,,,dynamics-365;dynamics-customer-service,business-user;functional-consultant,beginner
Get started with Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/get-started-financial-management-dyn365-finance/,16,"6,665","73,824",30.97%,"5,414",837,720,5,2014.239167,36.53396312,88,4.657894737,76,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant;business-user,beginner
Get started with Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/modules/get-started-fraud-protection/,6,406,"2,166",61.43%,281,86,86,1,42.32944444,12.57310231,35,4.8,5,,,dynamics-365;dynamics-fraud-protection;dynamics-commerce,functional-consultant;business-user;solution-architect;administrator,beginner
Get started with Dynamics 365 Guides,https://docs.microsoft.com/en-us/learn/modules/get-started-guides/,7,"2,726","9,930",14.07%,"2,352",165,144,,128.0061111,5.643179035,50,4.875,16,,,dynamics-365;dynamics-guides;hololens,functional-consultant;administrator;solution-architect;business-user,beginner
Get started with Dynamics 365 Human Resources,https://docs.microsoft.com/en-us/learn/modules/introduction-human-resources/,11,411,"2,814",30.94%,278,43,41,1,46.14777778,13.50666667,49,4.5,2,,,dynamics-365;dynamics-human-resources,functional-consultant;business-user,beginner
Get started with Dynamics 365 Intelligent Order Management,https://docs.microsoft.com/en-us/learn/modules/get-started-intelligent-order-management/,6,223,"1,050",30.77%,133,20,16,,24.04833333,13.11727273,27,5,2,,,dynamics-365;dynamics-iom;dynamics-finance-operations;dynamics-scm;dynamics-finance;dynamics-commerce,functional-consultant;business-user,beginner
Get started with Dynamics 365 Productivity Tools,https://docs.microsoft.com/en-us/learn/modules/productivity-tools/,7,296,"1,558",60.20%,196,59,61,,37.17694444,15.07173423,24,4.666666667,3,,,dynamics-365;dynamics-customer-service,functional-consultant,intermediate
Get started with Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-project-operations/,13,"1,043","6,278",15.21%,716,54,50,1,172.1672222,19.94214929,110,4.8,5,,,dynamics-365;dynamics-project-operations;dynamics-finance-operations;dynamics-finance,business-user;functional-consultant,beginner
Get started with Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-supply-chain-management-dyn365-supply-chain-mgmt/,19,"5,437","60,117",29.44%,"4,240",622,561,5,1279.146111,28.36244149,108,4.709090909,55,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,beginner
Get started with Expense management in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-expense-management/,12,698,"4,750",29.90%,410,61,45,,68.01527778,11.72677203,68,5,3,,,dynamics-365;dynamics-project-operations;dynamics-finance;dynamics-finance-operations,business-user;functional-consultant,beginner
Get Started with Git and GitHub in Visual Studio,https://docs.microsoft.com/en-us/learn/modules/visual-studio-github-push/,11,"15,198","63,426",4.29%,"9,419",201,133,5,1221.443333,9.668416887,38,4.944444444,18,,,github;vs,developer;devops-engineer;solution-architect;technology-manager;administrator;student,beginner
Get started with Go,https://docs.microsoft.com/en-us/learn/modules/go-get-started/,8,"3,214","20,541",25.46%,"2,949",370,200,,323.0841667,12.26901899,26,4.84,25,,,azure;vs-code,student,beginner
Get started with invoicing in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-invoicing-project-operations/,7,191,694,44.74%,76,17,15,,10.63833333,6.718947368,64,3,1,,,dynamics-365;dynamics-project-operations;dynamics-finance-operations;dynamics-finance;dynamics-sales,business-user;functional-consultant,intermediate
Get started with lean manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-lean-manufacturing-dyn365-supply-chain-mgmt/,4,238,"1,034",59.04%,167,49,44,,24.75555556,12.58757062,22,4.75,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate
Get started with Lifecycle Services for Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/get-started-lifecycle-services-finance-operations/,14,"2,164","21,113",30.57%,"1,775",269,276,1,718.7086111,40.15131906,104,4.590909091,22,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant;solution-architect;administrator,intermediate
Get started with making Remote Assist calls,https://docs.microsoft.com/en-us/learn/modules/remote-assist/,7,598,"2,524",27.69%,390,54,58,,52.68138889,10.57151616,65,4.666666667,3,,,dynamics-365;dynamics-field-service;dynamics-remote-assist,functional-consultant;business-user,intermediate
Get started with Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/m365-get-modern-intro/,3,"5,784","21,615",41.70%,"5,061","1,055",977,8,405.5919444,8.435187753,18,4.706666667,75,,,m365;office-365;windows,administrator,intermediate
Get started with Microsoft Cloud for Healthcare solutions powered by Dynamics 365,https://docs.microsoft.com/en-us/learn/modules/get-started-healthcare/,5,205,940,36.62%,143,26,25,,17.71444444,10.42026144,19,5,3,,,industry-solutions;mscloud-healthcare,business-user;functional-consultant;maker,beginner
Get started with Microsoft Dataverse for Teams,https://docs.microsoft.com/en-us/learn/modules/get-started-dataverse-teams/,5,"2,063","9,102",43.97%,"1,445",317,303,3,205.6227778,11.98966634,16,4.75,12,,,power-platform;power-apps;power-automate,maker;business-user,beginner
Get started with Microsoft Dynamics 365 Field Service Mobile,https://docs.microsoft.com/en-us/learn/modules/implement-get-started-with-microsoft-dynamics-365-for-field-service-mobile/,8,140,760,37.50%,64,12,13,,24.93055556,21.36904762,72,5,1,,,dynamics-365;dynamics-field-service,functional-consultant,intermediate
Get started with Microsoft Graph Toolkit,https://docs.microsoft.com/en-us/learn/modules/msgraph-toolkit-intro/,7,975,"4,282",21.14%,701,74,42,,68.03722222,8.382409309,26,5,1,,,m365;ms-graph,developer,beginner
Get started with Microsoft Power Platform Center of Excellence,https://docs.microsoft.com/en-us/learn/modules/get-started-center-excellence/,7,"1,636","10,080",55.56%,"1,211",335,347,,243.8527778,17.95235174,50,4.5,10,,,power-platform;power-automate;power-apps,administrator;functional-consultant;maker,intermediate
Get started with Microsoft Teams Rooms,https://docs.microsoft.com/en-us/learn/modules/m365-teams-rooms-get-started/,7,"1,299","8,462",46.14%,"1,090",251,236,,98.57722222,9.141628027,27,4.722222222,18,,,m365;office-teams,administrator,intermediate
Get started with Microsoft Viva Connections,https://docs.microsoft.com/en-us/learn/modules/viva-connections-get-started/,6,740,"3,050",43.87%,506,111,110,4,44.67305556,7.244279279,16,4.75,8,,,m365,developer,beginner
Get started with model-driven apps in Power Apps,https://docs.microsoft.com/en-us/learn/modules/get-started-with-model-driven-apps-in-powerapps/,9,"6,137","44,906",42.43%,"4,839","1,026","1,025",2,1541.763333,30.24053612,74,4.607843137,51,,,power-platform;power-apps,business-user;maker;functional-consultant,beginner
Get started with OneNote,https://docs.microsoft.com/en-us/learn/modules/get-started-with-onenote/,6,172,702,27.78%,108,15,15,2,5.193055556,3.623062016,50,5,1,,,office-onenote,k-12-educator;school-leader,beginner
Get started with Power Apps canvas apps,https://docs.microsoft.com/en-us/learn/modules/get-started-with-powerapps/,9,"80,708","454,307",17.86%,"61,728","5,464","3,983",45,11140.06944,16.63069261,51,4.73890785,586,,,power-platform;power-apps,business-user;functional-consultant;maker,beginner
Get started with Power Apps component framework,https://docs.microsoft.com/en-us/learn/modules/get-started-component-framework/,6,"2,227","11,986",30.54%,"2,072",317,266,,270.4663889,14.60664566,39,4.5,16,,,dynamics-365;power-platform,developer,intermediate
Get started with Power Automate,https://docs.microsoft.com/en-us/learn/modules/get-started-flows/,9,"43,200","179,855",17.96%,"30,633","2,747","2,008",24,4844.861667,13.50484088,66,4.628099174,242,,,power-platform;power-automate,business-user;maker;functional-consultant,beginner
Get started with Power Virtual Agents bots,https://docs.microsoft.com/en-us/learn/modules/power-virtual-agents-bots/,9,"2,043","12,918",35.99%,"1,842",330,310,8,381.0761111,22.48236644,62,4.736842105,19,,,power-platform;power-virtual-agents,maker,beginner
Get started with product configuration in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-product-configuration-dyn365-supply-chain-mgmt/,15,436,"3,024",26.87%,268,36,35,,95.48416667,26.28004587,186,4.75,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate
Get started with production control in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-production-control-dyn365-supply-chain-mgmt/,15,"3,828","43,153",21.74%,"3,031",328,346,,4489.993611,141.5657471,121,4.095238095,21,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,beginner
Get started with project accounting in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-project-accounting/,10,369,"1,996",17.71%,193,17,17,,53.11472222,17.32001812,92,4,1,,,dynamics-365;dynamics-project-operations;dynamics-finance-operations;dynamics-finance,functional-consultant;business-user,intermediate
Get started with project management in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-project-management/,12,528,"2,626",16.67%,266,22,21,1,50.47861111,11.51603295,127,4,3,,,dynamics-365;dynamics-project-operations;dynamics-finance-operations;dynamics-finance,business-user;functional-consultant,intermediate
Get started with project sales management in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-project-sales-management/,9,213,"1,350",21.43%,141,15,17,,29.11,16.47735849,101,3,2,,,dynamics-365;dynamics-project-operations;dynamics-finance-operations;dynamics-finance;dynamics-sales,business-user;functional-consultant,intermediate
Get started with React,https://docs.microsoft.com/en-us/learn/modules/react-get-started/,10,"2,662","15,476",23.93%,"1,830",218,171,4,247.215,11.1777694,31,4.818181818,22,,,azure-app-service-static;vs-code,student;developer,beginner
Get started with resource management in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-project-resource-management/,12,174,"1,226",35.42%,96,17,17,,29.48777778,20.33639847,130,4.5,2,,,dynamics-365;dynamics-project-operations;dynamics-finance-operations;dynamics-finance;dynamics-field-service,business-user;functional-consultant,intermediate
Get started with security roles in Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/modules/get-started-security-roles/,11,"4,380","35,532",42.47%,"3,844",815,671,3,1098.554722,30.19389983,73,4.46875,32,,,dynamics-365;power-platform;common-data-service;power-apps,functional-consultant,intermediate
Get started with Success by Design for Dynamics 365,https://docs.microsoft.com/en-us/learn/modules/success-by-design/,8,"2,137","13,242",28.75%,"1,303",186,165,1,322.3905556,18.19702101,61,4.842105263,19,,,dynamics-365;dynamics-sales;dynamics-marketing;dynamics-customer-service;dynamics-field-service;dynamics-finance;dynamics-scm;dynamics-finance-operations;dynamics-project-operations;dynamics-commerce;dynamics-human-resources,solution-architect;functional-consultant,intermediate
Get started with the Dynamics 365 Field Service Mobile application,https://docs.microsoft.com/en-us/learn/modules/get-started-mobile-app/,8,333,"2,148",51.24%,243,62,64,,55.59555556,20.09477912,80,5,1,,,dynamics-365;dynamics-field-service,functional-consultant;business-user,intermediate
Get started with the Engineering Change Management Add-in for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-engineering-change-management/,15,196,"1,490",20.00%,130,13,14,,18.38,11.25306122,115,,,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate
Get started with the extensibility framework in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/get-started-extensibility-finance-operations/,7,104,532,48.28%,58,14,16,,3.282222222,3.787179487,55,,,,,dynamics-finance-operations;dynamics-scm;dynamics-finance,developer;solution-architect;functional-consultant,intermediate
Get started with the Return to School solution,https://docs.microsoft.com/en-us/learn/modules/return-school/,6,118,536,63.89%,72,23,22,,4.955833333,5.039830508,18,5,2,,,industry-solutions;return-to-school,business-user;functional-consultant;maker,beginner
Get started with the Return to the Workplace solution,https://docs.microsoft.com/en-us/learn/modules/introduction-return-workplace-solution/,6,222,880,40.00%,140,28,26,,9.468055556,5.117867868,24,5,2,,,industry-solutions;return-to-workplace,business-user;functional-consultant;maker,beginner
Get started with the SharePoint Framework,https://docs.microsoft.com/en-us/learn/modules/sharepoint-spfx-get-started/,8,"2,181","10,912",15.23%,"1,372",104,84,,286.2755556,15.8017786,59,4.625,8,,,m365;office-sp-framework,developer,intermediate
Get started with the upgrade process from Dynamics AX 2012 to Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/get-started-upgrade-ax-2012-to-finance-operations/,8,162,970,46.94%,99,23,24,1,13.90861111,10.43145833,66,,,,,dynamics-finance-operations;dynamics-finance;dynamics-scm,administrator;functional-consultant;solution-architect,intermediate
Get started with the Windows Subsystem for Linux,https://docs.microsoft.com/en-us/learn/modules/get-started-with-windows-subsystem-for-linux/,8,"11,532","37,648",1.53%,"7,507",57,39,1,776.1852778,8.096508461,102,4.7,10,,,windows;vs-code,developer,beginner
Get started with Transact-SQL programming,https://docs.microsoft.com/en-us/learn/modules/get-started-transact-sql-programming/,8,"1,133","6,550",28.93%,803,116,118,3,139.2241667,14.75874558,51,4.666666667,9,,,azure-sql-database;azure-sql-managed-instance;azure-sql-virtual-machines;azure-sqlserver-vm;sql-server,data-analyst;data-engineer;data-scientist;database-administrator;developer;solution-architect;student,advanced
Get started with TypeScript,https://docs.microsoft.com/en-us/learn/modules/typescript-get-started/,8,"3,251","16,180",26.34%,"2,086",275,212,7,313.1380556,11.58340526,36,4.833333333,42,,,vs-code,developer;student,beginner
Get started with unified routing in Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/modules/unified-routing/,6,46,228,50.00%,36,9,9,,2.651666667,6.917391304,52,,,,,dynamics-365;dynamics-customer-service,business-user;functional-consultant,intermediate
Get started with Vue,https://docs.microsoft.com/en-us/learn/modules/vue-get-started/,7,"1,010","5,068",20.85%,799,83,60,1,155.0602778,18.4962558,22,5,13,,,azure-app-service-static;vs-code,student;developer,intermediate
Get started with warehouse management in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/get-started-warehouse-management/,9,306,"1,934",46.53%,202,47,44,,26.94722222,10.56753813,36,4.333333333,3,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate
