Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
Azure for Researchers part 2: Cloud Security and Cost Management,https://docs.microsoft.com/en-us/learn/paths/researcher-cloud-security-cost-management/,4,"51,373","770,795",179.25%,429,769,854,1757,41.97116449,140,142,learn.researcher-cloud-security-cost-management,student;school-leader;higher-ed-educator;data-scientist,azure;azure-cost-management;azure-firewall;azure-key-vault,beginner
Monitor and back up resources for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-monitor-backup-resources/,9,"11,588","171,248",111.08%,325,361,367,1757,38.129788,605,435,learn.azure-admin-monitor-backup-resources,administrator,azure;azure-virtual-machines;azure-monitor;azure-application-insights;azure-backup;azure-site-recovery,beginner
Deploy and manage compute resources for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-compute-resources/,14,"39,942","409,269",110.65%,460,509,399,1757,27.4938757,"1,274",681,learn.azure-admin-manage-compute-resources,administrator,azure;azure-virtual-machines;azure-clis;azure-resource-manager;azure-vm-scalesets;azure-container-instances;azure-container-registry;azure-kubernetes-service,beginner
"AZ-305: Design identity, governance, and monitor solutions",https://docs.microsoft.com/en-us/learn/paths/design-identity-governance-monitor-solutions/,4,32,290,100.00%,2,2,2,1757,12.4671875,,108,learn.wwl.design-identity-governance-monitor-solutions,solution-architect,azure,advanced
Share data with Azure Data Share,https://docs.microsoft.com/en-us/learn/paths/share-data-with-azure-data-share/,2,"1,245","16,563",91.43%,140,128,141,1757,26.87859438,155,82,learn.wwl.sharing-data-with-azure-data-share,data-engineer,azure-data-share,intermediate
Explore the foundations of identity and governance for SAP on Azure,https://docs.microsoft.com/en-us/learn/paths/explore-foundations-of-identity-governance/,3,38,685,71.43%,14,10,11,1757,4.928070175,2,180,learn.wwl.explore-foundations-of-identity-governance,administrator;solution-architect,azure,advanced
Manage the lifecycle of your projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/manage-project-lifecycle-github/,6,"6,554","54,296",67.34%,"1,093",736,708,1757,16.88672312,"1,309",358,learn.manage-project-lifecycle-github,devops-engineer;administrator;developer;solution-architect,github,intermediate
"Learn the basics of Power BI Desktop, Power Automate, and PowerApps",https://docs.microsoft.com/en-us/learn/paths/power-platform-introduction/,3,"79,065","436,193",66.67%,"1,284",856,679,1757,15.81864563,"2,557",192,learn.wwl.power-platform-introduction,business-user,power-apps;power-platform,intermediate
Improve your reliability with modern operations practices,https://docs.microsoft.com/en-us/learn/paths/improve-reliability-modern-operations/,6,873,"13,308",66.47%,173,115,127,1757,35.67214586,625,170,learn.improve-reliability-modern-operations,administrator;devops-engineer;solution-architect;technology-manager,azure,beginner
Implement resource management security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,"55,568","776,823",62.97%,"2,320","1,461","1,561",1757,38.10050749,"9,759",207,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate
Deploy and work with Loss Prevention for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-loss-prevention-fraud-protection/,3,246,"1,961",62.50%,48,30,28,1757,15.8802168,35,154,learn-dynamics.deploy-work-loss-prevention-fraud-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection;dynamics-commerce,intermediate
Bring AI to business users in your organization,https://docs.microsoft.com/en-us/learn/paths/bring-ai-to-business-users-your-organization/,3,"70,648","444,430",62.47%,373,233,247,1757,21.17688422,864,113,learn.wwl.bring-ai-to-business-users-your-organization,business-user,m365;power-platform,beginner
Implement virtual machine host security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-host-security/,6,"26,292","241,771",62.44%,"1,278",798,897,1757,28.96976013,"6,042",364,learn.security.implement-host-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-virtual-machines,beginner;intermediate
Process and Translate Speech with Azure Cognitive Speech Services,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,2,"2,399","31,017",61.35%,"1,278",784,893,1757,19.77646936,"1,419",105,learn.wwl.process-translate-speech-azure-cognitive-speech-services,ai-engineer;developer,azure;azure-cognitive-services,intermediate
Learn how Microsoft supports cloud adoption as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/secure-cloud-adoption-cybersecurity/,2,"28,022","313,177",56.50%,177,100,106,1757,32.03492732,224,91,learn-m365.cybersecurity-secure-cloud-adoption,administrator;security-operations-analyst;security-engineer,m365;azure,beginner
Explore Conversational AI with Microsoft Azure,https://docs.microsoft.com/en-us/learn/paths/explore-conversational-ai/,1,"5,790","31,823",55.58%,"3,809","2,117","2,400",1757,11.26748993,"2,796",29,learn.wwl.explore-conversational-ai,ai-engineer;data-scientist;developer;solution-architect;student,azure-bot-service;azure-cognitive-services,beginner
Implement network security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-network-security/,5,"30,618","324,944",55.00%,"2,471","1,359","1,463",1757,28.73522438,"8,562",310,learn.security.implement-network-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-application-gateway;azure-expressroute;azure-virtual-network;azure-vpn-gateway,beginner;intermediate
Explore the foundations of IaaS for SAP on Azure,https://docs.microsoft.com/en-us/learn/paths/explore-foundations-of-iaas/,4,48,"1,260",53.85%,26,14,15,1757,8.373611111,,294,learn.wwl.explore-foundations-of-iaas,administrator;solution-architect,azure,advanced
Explore fundamentals of knowledge mining,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-knowledge-mining/,1,466,"2,447",51.67%,60,31,37,1757,12.87217454,8,53,learn.wwl.explore-fundamentals-of-knowledge-mining,ai-engineer;student,azure-search,beginner
Discover ways to foster an AI-ready culture in your business,https://docs.microsoft.com/en-us/learn/paths/foster-ai-ready-culture/,5,955,"7,836",50.79%,189,96,102,1757,12.12492147,"1,123",202,learn.foster-an-ai-ready-culture-in-business,functional-consultant;business-user,azure;dynamics-365;m365,intermediate
Explore Azure for SAP workloads,https://docs.microsoft.com/en-us/learn/paths/explore-azure-for-sap-workloads/,5,78,"1,063",50.00%,40,20,21,1757,6.00042735,5,102,learn.wwl.explore-azure-for-sap-workloads,administrator;solution-architect,azure,advanced
Explore SAP HANA on Azure (Large Instances),https://docs.microsoft.com/en-us/learn/paths/explore-sap-hana-azure-large-instances/,9,48,"1,471",50.00%,16,8,7,1757,9.270833333,2,310,learn.wwl.explore-sap-hana-azure-large-instances,administrator;solution-architect,azure,advanced
Best practices for Azure migration and modernization,https://docs.microsoft.com/en-us/learn/paths/best-practices-azure-migration/,3,330,"2,522",48.65%,37,18,21,1757,21.27217172,7,245,learn.best-practices-azure-migration,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure;azure-migrate,intermediate
Ensure business continuity and implement disaster recovery for SAP solutions on Azure​,https://docs.microsoft.com/en-us/learn/paths/ensure-business-continuity-implement-disaster-recovery/,3,33,754,46.67%,15,7,7,1757,3.276767677,1,263,learn.wwl.ensure-business-continuity-implement-disaster-recovery,administrator;solution-architect,azure,advanced
Migrate SAP workloads to Azure,https://docs.microsoft.com/en-us/learn/paths/migrate-sap-workloads-to-azure/,3,44,622,44.44%,18,8,8,1757,8.879545455,5,186,learn.wwl.migrate-sap-workloads-to-azure,administrator;solution-architect,azure,advanced
Manage security operations in Azure,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,8,"46,796","469,041",43.48%,"2,132",927,986,1757,26.45196135,"8,324",360,learn.security.manage-security-operations,administrator;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate
Build a QnA solution,https://docs.microsoft.com/en-us/learn/paths/build-qna-solution/,1,765,"7,080",42.27%,705,298,346,1757,15.05786492,92,36,learn.wwl.build-qna-solution,ai-engineer;developer,azure-cognitive-services;azure-qna-maker,intermediate
Defend against threats with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-security-threat-protection/,4,"6,831","50,039",41.61%,"1,824",759,846,1757,22.98015176,"5,525",217,learn-m365.m365-security-threat-protection,administrator,m365;office-365;m365-threat-protection,intermediate
Manage identities and governance for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-identities-governance/,14,"47,813","580,336",38.97%,662,258,277,1757,30.74573477,957,496,learn.azure-admin-manage-identities-governance,administrator,azure;azure-active-directory;azure-rbac;azure-resource-manager;azure-cost-management,beginner
Manage message hygiene in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-message-hygiene-microsoft-365/,3,57,622,38.46%,26,10,10,1757,12.66842105,5,134,learn.wwl.manage-message-hygiene-microsoft-365,administrator,azure-active-directory;m365,intermediate
Architect infrastructure operations in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,"38,866","457,760",38.23%,"2,401",918,952,1757,33.34393171,"9,316",240,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate
AZ-204: Implement API Management,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-api-management/,1,28,176,37.50%,24,9,10,1757,13.26428571,7,37,learn.wwl.az-204-implement-api-management,developer,azure-api-management,intermediate
Deploy and configure Microsoft Edge and Microsoft Search for all your devices,https://docs.microsoft.com/en-us/learn/paths/deploy-configure-microsoft-edge-search-for-devices/,5,823,"4,599",36.84%,76,28,31,1757,7.787687323,256,104,learn.wwl.deploy-configure-microsoft-edge-search-for-devices,administrator,m365;office-365,intermediate
Identify guiding principles for responsible AI in government,https://docs.microsoft.com/en-us/learn/paths/responsible-ai-government-principles/,3,"1,563","8,843",36.61%,112,41,42,1757,12.30706974,434,175,learn.responsible-ai-business-principles-government,functional-consultant;business-user,azure;dynamics-365;m365,intermediate
Implement and manage storage for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-storage/,10,"20,627","300,628",35.69%,496,177,187,1757,31.72868974,537,402,learn.azure-admin-manage-storage,administrator,azure;azure-storage;azure-storage-accounts;azure-storage-explorer;azure-blob-storage;azure-files;azure-data-box-family;azure-virtual-machines,beginner
Manage and troubleshoot mail flow in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-troubleshoot-mail-flow-microsoft-365/,4,55,671,35.48%,31,11,12,1757,10.08090909,11,102,learn.wwl.manage-troubleshoot-mail-flow-microsoft-365,administrator,azure-active-directory;m365,intermediate
Monitor and troubleshoot Azure for SAP workloads,https://docs.microsoft.com/en-us/learn/paths/monitor-troubleshoot-azure-for-sap-workloads/,3,39,462,35.29%,17,6,6,1757,7.265384615,1,89,learn.wwl.monitor-troubleshoot-azure-for-sap-workloads,administrator;solution-architect,azure,advanced
"Use basketball stats to optimize game play with Visual Studio Code, inspired by the new film SPACE JAM: A NEW LEGACY",https://docs.microsoft.com/en-us/learn/paths/optimize-basketball-games-with-machine-learning/,5,"1,823","22,341",35.20%,679,239,253,1757,13.35574145,780,263,learn.student-evangelism.optimize-basketball-games-with-machine-learning,data-scientist;developer;student,vs-code;azure;azure-app-service-static;github,beginner
Azure Fundamentals part 6: Describe Azure cost management and service level agreements (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-azure-cost-management-service-level-agreements/,2,"42,113","448,361",34.89%,"33,932","11,840","13,358",1757,27.50382265,"21,533",70,learn.az-900-describe-azure-cost-management-service-level-agreements,administrator;business-analyst;business-user;data-engineer;data-scientist;developer;devops-engineer;solution-architect,azure,beginner
Explore Natural Language Processing in Microsoft Azure,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,4,"8,153","101,037",34.43%,"5,827","2,006","2,269",1757,22.80344045,"6,064",133,learn.wwl.explore-natural-language-processing,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services;azure-language-understanding;azure-portal,beginner
Deploy SAP on Azure,https://docs.microsoft.com/en-us/learn/paths/deploy-sap-azure/,2,54,633,34.21%,38,13,13,1757,2.874691358,4,111,learn.wwl.deploy-sap-azure,administrator;solution-architect,azure,advanced
Identify principles and practices for responsible AI,https://docs.microsoft.com/en-us/learn/paths/responsible-ai-business-principles/,3,"1,653","9,754",33.58%,271,91,95,1757,12.496219,896,168,learn.responsible-ai-business-principles,functional-consultant;business-user,azure;dynamics-365;m365,intermediate
Azure Fundamentals part 4: Describe general security and network security features (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-general-security-network-security-features/,2,"56,876","629,313",33.16%,"41,536","13,775","15,490",1757,29.75264494,"25,560",59,learn.az-900-describe-general-security-network-security-features,administrator;developer;business-analyst;business-user;solution-architect,azure,beginner
Build community-driven software projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/build-community-driven-projects-github/,7,"6,708","49,649",32.72%,654,214,234,1757,14.29778374,818,361,learn.build-community-driven-projects-github,devops-engineer;developer;solution-architect,github,beginner
Explore fundamentals of decision support,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-decision-support/,1,117,475,32.69%,52,17,17,1757,5.547293447,8,35,learn.wwl.explore-fundamentals-of-decision-support,ai-engineer;student,azure-anomaly-detector,beginner
Manage the transport pipeline in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-transport-pipeline-microsoft-365/,3,82,673,32.56%,43,14,16,1757,8.960162602,10,85,learn.wwl.manage-transport-pipeline-microsoft-365,administrator,azure-active-directory;m365,intermediate
Threat Modeling Security Fundamentals,https://docs.microsoft.com/en-us/learn/paths/tm-threat-modeling-fundamentals/,7,"2,296","31,610",32.30%,"1,065",344,376,1757,20.97537747,"3,327",192,learn.security.tm-threat-modeling-fundamentals,administrator;developer;devops-engineer;solution-architect;security-engineer,azure-iot-security-center;azure-iot-security-center,beginner;intermediate
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft Identity and access management solutions",https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-identity-access/,4,"6,442","111,849",31.87%,"5,005","1,595","1,792",1757,46.05420936,"1,634",88,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,business-user;student,azure-active-directory,beginner
Create a Language Understanding solution,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,3,"1,272","17,234",31.71%,"1,047",332,379,1757,25.74089361,132,148,learn.wwl.create-language-understanding-solution,ai-engineer;developer,azure-cognitive-services;azure-language-understanding,intermediate
"Azure Fundamentals part 5: Describe identity, governance, privacy, and compliance features (AZ-900)",https://docs.microsoft.com/en-us/learn/paths/az-900-describe-identity-governance-privacy-compliance-features/,3,"50,160","751,323",31.69%,"37,503","11,886","13,454",1757,37.50543428,"24,544",92,learn.az-900-describe-identity-governance-privacy-compliance-features,administrator;data-engineer;developer;devops-engineer;business-analyst;business-user;solution-architect,azure;azure-active-directory;azure-policy;azure-blueprints;azure-rbac,beginner
SC-400 part 3: Implement Information Governance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/implement-information-governance/,3,"1,041","10,315",31.65%,613,194,191,1757,24.46544989,511,158,learn.wwl.implement-information-governance,auditor;ip-admin,m365;m365-information-protection,intermediate
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft compliance solutions",https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-compliance-solutions/,5,"7,159","116,376",31.50%,"3,527","1,111","1,229",1757,34.57568795,"1,489",147,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,business-user;student,azure;m365,beginner
Process and translate text with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,2,"1,505","15,737",31.07%,"1,252",389,437,1757,18.52909192,143,108,learn.wwl.process-translate-text-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services,intermediate
Collaborate with others with Markdown and GitHub Pages,https://docs.microsoft.com/en-us/learn/paths/collaborate-markdown-github-pages/,3,"6,505","37,778",31.01%,"1,706",529,611,1757,12.28797079,896,206,learn.collaborate-markdown-github-pages,devops-engineer;administrator;developer;solution-architect;student,github,beginner
Introduction to AI technology for business leaders,https://docs.microsoft.com/en-us/learn/paths/ai-technology-for-business-leaders/,2,"1,768","13,008",30.24%,463,140,160,1757,12.75524133,"2,529",91,learn.ai-technology-for-business-leaders,functional-consultant;business-user,azure;dynamics-365;m365,beginner
Integrate Power Automate flows and Dataverse,https://docs.microsoft.com/en-us/learn/paths/integrate-dataverse-power-automate/,2,264,"2,047",29.94%,167,50,53,1757,13.91092172,114,23,learn-bizapps.integrate-dataverse-power-automate,maker;developer,power-platform;power-automate;common-data-service,intermediate
Prerequisites for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-prerequisites/,9,"67,839","757,753",29.69%,"1,701",505,502,1757,31.04953689,"2,337",392,learn.azure-admin-prerequisites,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-clis;azure-active-directory;azure-container-instances;azure-container-registry;azure-storage,beginner
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft security solutions",https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-security-solutions/,6,"5,906","126,658",29.54%,"4,255","1,257","1,394",1757,52.56524156,"1,634",136,learn.wwl.describe-capabilities-of-microsoft-security-solutions,business-user;student,azure;m365,beginner
Manage Teams Phone,https://docs.microsoft.com/en-us/learn/paths/manage-teams-voice/,3,197,"1,842",29.46%,129,38,40,1757,19.52901861,36,157,learn.wwl.manage-teams-voice,administrator,m365;office-teams,advanced
Manage insider risk in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-compliance-insider/,5,"1,432","11,079",28.86%,350,101,119,1757,22.10050047,"1,491",223,learn-m365.m365-compliance-insider,administrator;auditor,m365;office-365,intermediate
"Demonstrate fundamental knowledge of Microsoft 365 licensing, service and support",https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,5,"19,604","194,027",28.61%,"4,037","1,155","1,313",1757,17.14573556,"5,181",67,learn.wwl.m365-licensing-service-support,business-owner;business-user,m365;office-365,beginner
Reclassify fixed assets in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/reclassify-fixed-assets/,2,96,526,28.57%,56,16,16,1757,7.906597222,119,57,learn-dynamics.reclassify-fixed-assets,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Create computer vision solutions with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,5,"1,712","26,948",28.42%,"1,098",312,347,1757,19.93603972,121,267,learn.wwl.create-computer-vision-solutions-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services;azure-computer-vision;azure-custom-vision;azure-face;azure-video-indexer,intermediate
Implement Windows Server IaaS VM networking,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-networking/,3,589,"3,636",28.23%,124,35,38,1757,8.38655914,299,172,learn.wwl.implement-windows-server-iaas-vm-networking,administrator;solution-architect;technology-manager,azure;azure-cloud-shell;azure-portal;azure-virtual-machines,intermediate
Get started with artificial intelligence on Azure,https://docs.microsoft.com/en-us/learn/paths/get-started-with-artificial-intelligence-on-azure/,1,"26,445","217,819",28.03%,"19,408","5,440","6,452",1757,16.03175332,"14,611",34,learn.wwl.get-started-with-artificial-intelligence-on-azure,ai-engineer;data-scientist;developer;student,azure-bot-service;azure-cognitive-services;azure-machine-learning,beginner
Manage basic fixed assets transactions in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-fixed-assets-transactions/,3,246,"1,685",27.78%,90,25,27,1757,13.3554878,132,99,learn-dynamics.manage-fixed-assets-transactions,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Implement knowledge mining with Azure Cognitive Search,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,3,"1,041","13,804",27.68%,878,243,275,1757,26.68299712,614,155,learn.wwl.implement-knowledge-mining-azure-cognitive-search,ai-engineer;developer;solution-architect,azure;azure-cognitive-services;azure-sdks;azure-cognitive-search,intermediate
"Learn how Microsoft supports data discovery, classification, and protection as part of a cybersecurity solution",https://docs.microsoft.com/en-us/learn/paths/data-identification-cybersecurity/,9,"3,458","30,088",27.67%,159,44,50,1757,25.56205899,177,368,learn-m365.cybersecurity-data,administrator;security-operations-analyst;security-engineer,m365;azure,beginner
GitHub fundamentals - Administration basics and product features.,https://docs.microsoft.com/en-us/learn/paths/github-administration-products/,3,"6,193","33,239",27.44%,"1,323",363,418,1757,14.47005221,904,112,learn.github.github-administration-products,administrator;devops-engineer;technology-manager,github,intermediate
Return items in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/return-items-dynamics-365-business-central/,3,516,"4,937",27.22%,338,92,107,1757,17.17034884,573,85,learn-dynamics.return-items-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Introduce DevOps Dojo: Create efficiencies that support your business,https://docs.microsoft.com/en-us/learn/paths/devops-dojo-white-belt-foundation/,6,"3,033","33,885",27.06%,"1,153",312,345,1757,29.15505001,"5,135",120,learn.wwl.devops-dojo-white-belt-foundation,administrator;business-analyst;business-owner;business-user;developer;devops-engineer;functional-consultant;maker;security-engineer;solution-architect;technology-manager,azure,beginner
Set up jobs and resources in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-jobs-resources/,6,257,"2,654",26.79%,112,30,32,1757,13.99053178,163,138,learn-dynamics.set-up-jobs-resources,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Explore computer vision in Microsoft Azure,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,6,"11,919","179,599",26.65%,"8,589","2,289","2,307",1757,25.77017927,"6,135",179,learn.wwl.explore-computer-vision-microsoft-azure,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,beginner
Extract text from images and documents,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,2,"1,225","11,652",26.26%,975,256,292,1757,15.01096599,281,91,learn.wwl.extract-text-from-images-documents,ai-engineer;data-scientist;student,azure-form-recognizer,intermediate
Implement advanced logic in WinAutomation,https://docs.microsoft.com/en-us/learn/paths/implement-logic-winautomation/,6,236,"1,585",26.23%,61,16,17,1757,6.360310734,152,219,learn-bizapps.implement-logic-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,intermediate
Manage advanced fixed assets transactions in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-advanced-fixed-assets-transactions/,5,218,"1,445",25.86%,58,15,14,1757,11.39594801,109,165,learn-dynamics.manage-advanced-fixed-assets-transactions,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Microsoft Azure Data Fundamentals: Explore non-relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-non-relational-data/,3,"7,887","109,792",25.47%,"6,435","1,639","1,803",1757,53.1241431,"5,063",144,learn.wwl.azure-data-fundamentals-explore-non-relational-data,administrator;business-user;data-engineer;student,azure,beginner
Manage fixed asset maintenance and insurances in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-fixed-assets-maintenance-insurances/,4,147,"1,041",25.45%,55,14,15,1757,8.565306122,101,112,learn-dynamics.manage-fixed-assets-maintenance-insurances,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Automate your workflow with GitHub Actions,https://docs.microsoft.com/en-us/learn/paths/automate-workflow-github-actions/,6,"9,032","64,235",25.41%,"1,649",419,468,1757,14.98899838,"2,204",313,learn.automate-workflow-github-actions,devops-engineer;administrator;developer;solution-architect,github;azure,beginner;intermediate
Post job usage and sales in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/post-job-usage-sales/,3,149,"1,323",25.33%,75,19,21,1757,13.96230425,116,133,learn-dynamics.post-job-usage-sales,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Build data analytics solutions using Azure Synapse serverless SQL pools,https://docs.microsoft.com/en-us/learn/paths/build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools/,6,"1,240","14,122",25.27%,562,142,153,1757,20.2891129,360,164,learn.wwl.build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools,data-engineer,azure-synapse-analytics,intermediate
Migrating Cassandra and MongoDB workloads to Cosmos DB,https://docs.microsoft.com/en-us/learn/paths/migrate-cassandra-mongo-db-workloads-to-cosmos-db/,3,182,"1,435",25.23%,107,27,29,1757,9.010805861,451,148,learn.wwl.migrating-cassandra-mongo-db-workloads-cosmos-db,data-engineer,azure-cosmos-db,intermediate
Work with Hybrid Transactional and Analytical Processing Solutions using Azure Synapse Analytics,https://docs.microsoft.com/en-us/learn/paths/work-with-hybrid-transactional-analytical-processing-solutions/,4,"1,945","24,109",25.21%,"1,313",331,380,1757,29.37814053,670,146,learn.wwl.work-with-hybrid-transactional-analytical-processing-solutions,data-engineer,azure-synapse-analytics,intermediate
Create fixed assets in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-fixed-assets/,3,218,"1,775",25.20%,123,31,33,1757,12.67629969,134,83,learn-dynamics.create-fixed-assets,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Demonstrate fundamental knowledge of Microsoft 365 security and compliance capabilities,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,7,"22,676","272,916",25.11%,"5,268","1,323","1,418",1757,25.72791277,"5,562",171,learn.wwl.m365-security-compliance-capabilities,business-owner;business-user,m365,beginner
Microsoft Azure Data Fundamentals: Explore modern data warehouse analytics in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-data-warehouse-analytics/,4,"102,562","483,639",24.90%,"7,806","1,944","2,140",1757,13.42860579,"5,902",111,learn.wwl.azure-data-fundamentals-explore-data-warehouse-analytics,administrator;business-user;data-engineer,azure,beginner
Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-project-operations-erp/,3,"3,430","42,753",24.89%,944,235,248,1757,44.30589893,403,158,learn.wwl.explore-microsoft-dynamics-365-project-operations-erp,business-owner;business-user;functional-consultant;student,dynamics-365,beginner
SC-200 part 7: Create detections and perform investigations using Azure Sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-create-detections-perform-investigations-azure-sentinel/,5,"1,840","19,081",24.63%,609,150,176,1757,27.79815217,580,262,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate
Implement advanced logic in Power Automate for desktop,https://docs.microsoft.com/en-us/learn/paths/pad-implement-advanced-logic/,5,"1,695","9,944",24.47%,376,92,105,1757,11.90950836,355,140,learn-bizapps.pad-implement-advanced-logic,maker;developer;functional-consultant,power-platform;power-automate,intermediate
SC-200 part 2: Mitigate threats using Microsoft 365 Defender,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-microsoft-365-defender/,8,"4,905","60,611",24.45%,"1,313",321,361,1757,29.36585457,871,374,learn.wwl.sc-200-mitigate-threats-using-microsoft-365-defender,security-operations-analyst,m365,intermediate
Manage permissions and administration for Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/paths/manage-permissions-administration-common-data-service/,2,"3,476","30,986",24.44%,"2,635",644,603,1757,28.01949079,"2,248",117,learn-dynamics.manage-permissions-and-administration-for-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,intermediate
