Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
Analyze insights in Dynamics 365 Marketing,https://docs.microsoft.com/en-us/learn/paths/analyze-marketing-insights/,2,355,"2,902",19.00%,279,53,54,4173,14.43328638,626,113,learn-dynamics.analyze-marketing-insights,administrator;functional-consultant;business-user,dynamics-365;dynamics-marketing,intermediate
Architect a data platform in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-data-platform/,10,"48,835","507,767",5.52%,"3,857",213,222,4173,23.02338999,"8,339",503,learn.architect-data-platform,solution-architect,azure;azure-sql-database;azure-synapse-analytics;azure-cosmos-db,intermediate
Architect API integration in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-api-integration/,5,"9,932","76,859",12.78%,"2,511",321,353,4173,18.15747248,"6,122",224,learn.architect-api-integration,solution-architect,azure;azure-api-management,intermediate
Architect compute infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-compute-infrastructure/,9,"84,720","841,468",9.69%,"4,456",432,340,4173,31.89316356,"9,840",434,learn.architect-compute-infrastructure,solution-architect,azure;azure-virtual-machines,intermediate
Architect infrastructure operations in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,"40,136","448,865",23.33%,"2,928",683,704,4173,32.19796982,"9,125",240,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate
Architect message brokering and serverless applications in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-messaging-serverless/,8,"15,237","203,017",10.88%,"2,031",221,249,4173,40.3697622,"5,550",380,learn.architect-messaging-serverless,solution-architect,azure;azure-functions;azure-event-hubs;azure-event-grid;azure-service-bus;azure-logic-apps,intermediate
"Architect migration, business continuity, and disaster recovery in Azure",https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,"18,526","189,225",13.04%,"2,415",315,297,4173,20.71717766,"7,569",440,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate
Architect modern applications in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-modern-apps/,7,"27,322","286,730",11.84%,"2,516",298,323,4173,15.23411841,"7,185",321,learn.architect-modern-apps,solution-architect,azure;azure-kubernetes-service;azure-container-instances;azure-app-service;azure-cache-redis,intermediate
Architect network infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,"24,830","271,607",3.19%,"14,362",458,517,4173,32.97346288,"14,878",564,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate
Architect secure infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-secure-infrastructure/,8,"13,268","143,407",15.38%,468,72,75,4173,21.3084087,"2,742",397,learn.architect-secure-infrastructure,solution-architect,azure;azure-virtual-machines;azure-resource-manager;azure-application-gateway;azure-key-vault;azure-sql-database,intermediate
Architect solutions for Dynamics 365 and Microsoft Power Platform,https://docs.microsoft.com/en-us/learn/paths/become-solution-architect/,5,"3,591","25,023",7.42%,"2,290",170,186,4173,15.58754757,"3,559",237,learn-dynamics.become-solution-architect,solution-architect,dynamics-365;power-platform,advanced
Architect storage infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-storage-infrastructure/,9,"30,793","577,910",11.54%,"4,524",522,561,4173,32.73944998,"9,503",357,learn.architect-storage-infrastructure,solution-architect,azure;azure-storage,intermediate
Assemble items in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/assemble-items-dynamics-365-business-central/,4,189,"1,619",18.92%,111,21,25,4173,21.01984127,348,146,learn-dynamics.assemble-items-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Automate a business process using Power Automate,https://docs.microsoft.com/en-us/learn/paths/automate-process-power-automate/,5,"34,571","212,688",5.52%,"17,235",951,908,4173,14.09356831,"10,391",294,learn-bizapps.automate-process-using-flow,business-user;functional-consultant;maker;administrator,power-platform;power-automate,beginner
Automate administrative tasks by using PowerShell,https://docs.microsoft.com/en-us/learn/paths/powershell/,6,"18,867","152,476",5.83%,"3,227",188,214,4173,20.50244872,"1,340",177,learn.powershell,student;administrator;developer,vs-code,beginner
Automate processes with Robotic Process Automation and Power Automate Desktop,https://docs.microsoft.com/en-us/learn/paths/work-automation-flow/,8,"7,026","66,764",12.67%,"1,886",239,255,4173,12.56223313,282,125,learn-bizapps.work-automation-flow,maker;business-user,power-platform;power-automate,intermediate
Automate tasks in SQL Server,https://docs.microsoft.com/en-us/learn/paths/automate-tasks-sql-server/,3,"1,441","8,048",9.02%,"1,142",103,112,4173,14.68783252,"1,567",144,learn.wwl.automate-tasks-sql-server,data-analyst;data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate
Automate your workflow with GitHub Actions,https://docs.microsoft.com/en-us/learn/paths/automate-workflow-github-actions/,6,"7,111","42,613",13.59%,942,128,144,4173,11.79746871,"2,011",313,learn.automate-workflow-github-actions,devops-engineer;administrator;developer;solution-architect,github;azure,beginner;intermediate
AZ-104: Configure and manage virtual networks for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-virtual-networks/,15,"15,600","266,774",6.75%,"7,924",535,472,4173,37.8879797,"7,215",480,learn.az-104-manage-virtual-networks,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-dns;azure-vpn-gateway;azure-expressroute;azure-application-gateway;azure-load-balancer;azure-bastion;azure-firewall;azure-virtual-desktop,beginner
AZ-104: Deploy and manage Azure compute resources,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-compute-resources/,11,"34,960","432,495",7.45%,"7,579",565,484,4173,17.07146262,"6,677",379,learn.az-104-manage-compute-resources,administrator,azure;azure-virtual-machines;azure-clis;azure-resource-manager;azure-vm-scalesets;azure-container-instances;azure-container-registry;azure-kubernetes-service,beginner
AZ-104: Implement and manage storage in Azure,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-storage/,9,"23,728","403,307",9.68%,"8,712",843,764,4173,30.12381083,"6,678",284,learn.az-104-manage-storage,administrator,azure;azure-storage;azure-storage-accounts;azure-storage-explorer;azure-blob-storage;azure-files;azure-virtual-machines,beginner
AZ-104: Manage identities and governance in Azure,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-identities-governance/,8,"22,736","331,587",11.95%,"14,138","1,690","1,537",4173,30.18563585,"8,423",247,learn.az-104-manage-identities-governance,administrator,azure;azure-active-directory;azure-rbac;azure-resource-manager;azure-cost-management,beginner
AZ-104: Monitor and back up Azure resources,https://docs.microsoft.com/en-us/learn/paths/az-104-monitor-backup-resources/,9,"9,635","122,406",10.41%,"5,051",526,530,4173,27.39135617,"5,400",290,learn.az-104-monitor-backup-resources,administrator,azure;azure-virtual-machines;azure-monitor;azure-application-insights;azure-backup;azure-site-recovery,beginner
AZ-104: Prerequisites for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/az-104-administrator-prerequisites/,6,"43,635","476,197",5.61%,"33,043","1,854","1,523",4173,21.84727894,"16,726",220,learn.az104-admin-prerequisites,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-clis;azure-active-directory;azure-container-instances;azure-container-registry;azure-storage,beginner
AZ-204: Create Azure App Service web apps,https://docs.microsoft.com/en-us/learn/paths/create-azure-app-service-web-apps/,4,,,,,,,4173,,3,108,learn.wwl.create-azure-app-service-web-apps,developer,azure;azure-app-service,intermediate
AZ-204: Implement Azure Functions,https://docs.microsoft.com/en-us/learn/paths/implement-azure-functions/,3,,,,,,,4173,,3,83,learn.wwl.implement-azure-functions,developer,azure;azure-functions,intermediate
AZ-400: Define and implement continuous integration,https://docs.microsoft.com/en-us/learn/paths/az-400-define-implement-continuous-integration/,11,"14,980","122,790",3.60%,"2,837",102,98,4173,22.42945149,"2,098",686,learn.az-400-define-implement-continuous-integration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops;azure-virtual-machines;azure-automation,beginner
AZ-400: Develop a security and compliance plan,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-security-compliance-plan/,11,"58,825","742,545",8.23%,"2,089",172,186,4173,34.38574784,"2,464",462,learn.az-400-develop-security-compliance-plan,devops-engineer;administrator;developer;solution-architect;security-engineer,azure;azure-active-directory;azure-key-vault;azure-api-management;azure-monitor,beginner
AZ-400: Develop a Site Reliability Engineering (SRE) strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-sre-strategy/,8,"13,506","114,998",4.98%,"2,830",141,153,4173,21.09240831,"1,695",466,learn.az-400-develop-sre-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-monitor;azure-load-balancer;azure-virtual-machines,beginner
AZ-400: Develop an instrumentation strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-instrumentation-strategy/,11,"25,536","228,956",3.08%,"6,519",201,218,4173,24.70305712,"2,739",497,learn.az-400-develop-instrumentation-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-portal;azure-resource-manager;azure-application-insights;azure-monitor;azure-event-grid;azure-sentinel;azure-security-center;azure-service-health;vs-app-center;azure-virtual-machines;azure-app-service;azure-container-instances;azure-functions;azure-kubernetes-service;azure-logic-apps,beginner
AZ-400: Facilitate communication and collaboration,https://docs.microsoft.com/en-us/learn/paths/az-400-facilitate-communication-collaboration/,6,"28,587","241,904",13.55%,"1,808",245,259,4173,22.90276699,"1,819",147,learn.az-400-facilitate-communication-collaboration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops,beginner
AZ-400: Manage source control,https://docs.microsoft.com/en-us/learn/paths/az-400-manage-source-control/,15,"8,584","76,600",9.33%,"2,616",244,255,4173,17.81518523,"2,335",888,learn.az-400-manage-source-control,devops-engineer;administrator;developer;solution-architect,azure;github,beginner
AZ-700 Designing and Implementing Microsoft Azure Networking Solutions,https://docs.microsoft.com/en-us/learn/paths/design-implement-microsoft-azure-networking-solutions-az-700/,8,"7,711","72,370",3.34%,"6,229",208,235,4173,36.18541045,568,567,learn.wwl.designing-implementing-microsoft-azure-networking-solutions-az-700,administrator;network-engineer,azure-application-gateway;azure-dns;azure-expressroute;azure-firewall;azure-firewall-manager;azure-front-door;azure-load-balancer;azure-network-watcher;azure-private-link;azure-traffic-manager;azure-virtual-network;azure-virtual-wan;azure-vpn-gateway,intermediate
Azure Data Fundamentals: Explore core data concepts,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-core-data-concepts/,5,"27,901","405,831",17.96%,"23,173","4,161","4,582",4173,42.77319809,"10,699",99,learn.wwl.azure-data-fundamentals-explore-core-data-concepts,administrator;business-user;data-engineer;student,azure,beginner
Azure Data Fundamentals: Explore modern data warehouse analytics in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-data-warehouse-analytics/,4,"106,216","538,737",32.32%,"9,383","3,033","3,284",4173,11.21918402,"5,303",111,learn.wwl.azure-data-fundamentals-explore-data-warehouse-analytics,administrator;business-user;data-engineer,azure,beginner
Azure Data Fundamentals: Explore non-relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-non-relational-data/,3,"9,658","139,357",29.89%,"7,895","2,360","2,552",4173,44.10591737,"4,541",144,learn.wwl.azure-data-fundamentals-explore-non-relational-data,administrator;business-user;data-engineer;student,azure,beginner
Azure Data Fundamentals: Explore relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-relational-data/,3,"12,431","185,038",28.03%,"9,917","2,780","3,060",4173,41.38994852,"5,305",87,learn.wwl.azure-data-fundamentals-explore-relational-data,administrator;business-user;data-engineer;student,azure,beginner
Azure Database for PostgreSQL,https://docs.microsoft.com/en-us/learn/paths/introduction-to-azure-postgres/,3,"1,056","6,804",8.59%,291,25,26,4173,16.66115846,271,115,learn.azure.azure-database-for-postgresql,administrator;developer;solution-architect;student,azure;azure-database-postgresql,beginner
Azure for Researchers part 1: Introduction to Cloud Computing,https://docs.microsoft.com/en-us/learn/paths/researcher-introduction-to-cloud-computing/,9,"237,451","3,756,826",12.00%,"8,987","1,078","1,168",4173,41.2804825,538,350,learn.researcher-introduction-to-cloud-computing,student;school-leader;higher-ed-educator;data-scientist,azure;azure-storage;azure-virtual-machines,beginner
Azure for Researchers part 2: Cloud Security and Cost Management,https://docs.microsoft.com/en-us/learn/paths/researcher-cloud-security-cost-management/,4,"50,221","761,558",203.54%,395,804,867,4173,39.41137605,104,142,learn.researcher-cloud-security-cost-management,student;school-leader;higher-ed-educator;data-scientist,azure;azure-cost-management;azure-firewall;azure-key-vault,beginner
Azure for the Data Engineer,https://docs.microsoft.com/en-us/learn/paths/azure-for-the-data-engineer/,3,"15,881","150,158",12.00%,"13,960","1,675","1,831",4173,28.36772873,"11,393",111,learn.data-ai.azure-for-the-data-engineer,data-engineer,azure;azure-portal;azure-storage;azure-virtual-machines,beginner
Azure Fundamentals part 1: Describe core Azure concepts (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-cloud-concepts/,3,"330,733","3,215,581",12.78%,"256,917","32,838","36,151",4173,24.82996511,"63,401",101,learn.az-900-describe-cloud-concepts,administrator;solution-architect;developer;student,azure;azure-resource-manager;azure-functions,beginner
Azure Fundamentals part 2: Describe core Azure services (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-core-azure-services/,4,"120,203","1,886,435",19.96%,"88,992","17,759","19,619",4173,42.53684406,"30,609",160,learn.az-900-describe-core-azure-services,administrator;solution-architect;developer;student,azure;azure-app-service;azure-blob-storage;azure-container-instances;azure-container-registry;azure-cosmos-db;azure-databricks;azure-data-lake;azure-expressroute;azure-files;azure-hdinsight;azure-kubernetes-service;azure-sql-database;azure-storage;azure-storage-accounts;azure-synapse-analytics;azure-virtual-machines;azure-virtual-network;azure-vpn-gateway,beginner
Azure Fundamentals part 3: Describe core solutions and management tools on Azure (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-core-solutions-management-tools-azure/,6,"64,117","1,468,818",26.43%,"54,089","14,294","15,340",4173,40.38728002,"25,349",140,learn.az-900-describe-core-solutions-management-tools-azure,administrator;developer;business-owner;student;technology-manager,azure;azure-cognitive-services;azure-machine-learning;azure-bot-service;azure-devops;azure-advisor;azure-monitor;azure-service-health;azure-portal;azure-clis;azure-resource-manager;azure-functions;azure-logic-apps;azure;azure-iot-hub;azure-iot-central,beginner
Azure Fundamentals part 4: Describe general security and network security features (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-general-security-network-security-features/,2,"54,745","620,872",33.27%,"38,692","12,872","14,182",4173,27.59545225,"21,433",59,learn.az-900-describe-general-security-network-security-features,administrator;developer;business-analyst;business-user;solution-architect,azure,beginner
"Azure Fundamentals part 5: Describe identity, governance, privacy, and compliance features (AZ-900)",https://docs.microsoft.com/en-us/learn/paths/az-900-describe-identity-governance-privacy-compliance-features/,3,"49,464","743,945",31.75%,"35,492","11,269","12,561",4173,37.2247173,"20,550",92,learn.az-900-describe-identity-governance-privacy-compliance-features,administrator;data-engineer;developer;devops-engineer;business-analyst;business-user;solution-architect,azure;azure-active-directory;azure-policy;azure-blueprints;azure-rbac,beginner
Azure Fundamentals part 6: Describe Azure cost management and service level agreements (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-azure-cost-management-service-level-agreements/,2,"40,193","430,470",35.98%,"31,473","11,325","12,547",4173,25.53705413,"17,877",70,learn.az-900-describe-azure-cost-management-service-level-agreements,administrator;business-analyst;business-user;data-engineer;data-scientist;developer;devops-engineer;solution-architect,azure,beginner
Azure SQL fundamentals,https://docs.microsoft.com/en-us/learn/paths/azure-sql-fundamentals/,6,"11,079","77,833",2.28%,"8,612",196,217,4173,24.001557,"5,660",434,learn.azure-sql-fundamentals,database-administrator;administrator;solution-architect,azure;azure-sql-database,beginner
Azure Stack HCI foundations,https://docs.microsoft.com/en-us/learn/paths/azure-stack-hci-foundations/,4,"1,200","6,545",5.93%,674,40,42,4173,15.93786111,399,179,learn.azure-stack-hci-foundations,administrator;ai-edge-engineer;business-owner;data-engineer;database-administrator;devops-engineer;privacy-manager;security-engineer;solution-architect;student;technology-manager,azure-stack-hci;azure-stack-hub;azure-stack-edge,beginner
Azure Static Web Apps,https://docs.microsoft.com/en-us/learn/paths/azure-static-web-apps/,5,"7,424","40,156",6.84%,"1,505",103,116,4173,8.409044989,570,138,learn.azure-static-web-apps,developer;solution-architect;student,azure;azure-app-service;azure-app-service-static,beginner
Beginners data science for Python developers,https://docs.microsoft.com/en-us/learn/paths/beginners-python-data-science/,3,1,1,,1,,,4173,0.066666667,4,100,learn.reactors.beginners-python-data-science,developer;student;data-scientist,azure;vs-code,beginner
Best practices for Azure migration,https://docs.microsoft.com/en-us/learn/paths/best-practices-azure-migration/,3,261,"1,774",28.21%,39,11,12,4173,14.01136654,8,245,learn.best-practices-azure-migration,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure;azure-migrate,intermediate
Bring AI to business users in your organization,https://docs.microsoft.com/en-us/learn/paths/bring-ai-to-business-users-your-organization/,3,"72,119","470,838",105.90%,390,413,438,4173,18.07390725,816,113,learn.wwl.bring-ai-to-business-users-your-organization,business-user,m365;power-platform,beginner
Bring AI to your business with AI Builder,https://docs.microsoft.com/en-us/learn/paths/bring-ai/,2,"3,575","20,688",32.35%,"1,533",496,541,4173,8.767356643,"1,916",47,learn-bizapps.bring-ai,maker;business-user,ai-builder,beginner
Build .NET applications with C#,https://docs.microsoft.com/en-us/learn/paths/build-dotnet-applications-csharp/,6,"42,923","314,811",3.14%,"14,919",468,552,4173,15.8092134,"3,765",184,learn.build-dotnet-applications-csharp,developer,dotnet,beginner
Build a QnA solution,https://docs.microsoft.com/en-us/learn/paths/build-qna-solution/,1,589,"5,107",34.12%,551,188,218,4173,15.34219015,56,36,learn.wwl.build-qna-solution,ai-engineer;developer,azure-cognitive-services;azure-qna-maker,intermediate
Build and operate machine learning solutions with Azure Databricks,https://docs.microsoft.com/en-us/learn/paths/build-operate-machine-learning-solutions-azure-databricks/,8,232,"3,970",27.38%,84,23,24,4173,13.00818966,35,180,learn.wwl.build-operate-machine-learning-solutions-azure-databricks,data-scientist,azure-databricks;azure-machine-learning,intermediate
Build and operate machine learning solutions with Azure Machine Learning,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,14,"7,751","131,516",6.33%,"5,195",329,357,4173,36.59102051,"8,300",611,learn.data-ai.build-ai-solutions-with-azure-ml-service,data-scientist;student,azure;azure-machine-learning;azure-portal,intermediate
Build applications with Azure DevOps,https://docs.microsoft.com/en-us/learn/paths/build-applications-with-azure-devops/,5,"10,776","80,213",8.21%,"3,860",317,326,4173,21.07111173,"6,865",363,learn.azdo.build-applications-with-azure-devops,devops-engineer;administrator;developer,azure;azure-devops,intermediate
Build apps with Microsoft Graph – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-associate/,7,"3,818","26,380",5.55%,"1,297",72,85,4173,17.11468919,"1,860",461,learn-m365.msgraph-associate,developer,ms-graph;m365,intermediate
Build automated workflows to integrate data and apps with Azure Logic Apps,https://docs.microsoft.com/en-us/learn/paths/build-workflows-with-logic-apps/,4,"3,428","24,683",8.72%,872,76,82,4173,21.05994263,"2,073",169,learn.build-workflows-with-logic-apps,developer,azure;azure-portal;azure-logic-apps,beginner;intermediate
Build Azure infrastructure in a team environment by using Bicep,https://docs.microsoft.com/en-us/learn/paths/bicep-collaborate/,5,871,"5,652",16.94%,124,21,23,4173,11.28411787,15,189,learn.bicep-collaborate,developer;administrator;solution-architect,azure;azure-resource-manager,intermediate
Build community-driven software projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/build-community-driven-projects-github/,7,"5,227","32,664",10.16%,305,31,33,4173,12.53689816,737,395,learn.build-community-driven-projects-github,devops-engineer;developer;solution-architect,github,beginner
Build custom connectors for Power Automate,https://docs.microsoft.com/en-us/learn/paths/build-custom-connectors/,7,792,"6,480",10.66%,347,37,38,4173,13.06725589,161,259,learn-bizapps.build-custom-connectors,maker,power-platform;power-automate,intermediate
Build data analytics solutions using Azure Synapse serverless SQL pools,https://docs.microsoft.com/en-us/learn/paths/build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools/,6,"1,068","11,585",19.91%,422,84,87,4173,16.78478464,327,164,learn.wwl.build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools,data-engineer,azure-synapse-analytics,intermediate
Build expertise with Power Automate Desktop,https://docs.microsoft.com/en-us/learn/paths/pad-build-expertise/,5,"2,572","12,084",15.50%,516,80,80,4173,7.590234578,329,156,learn-bizapps.pad-build-expertise,maker;developer;functional-consultant,power-platform;power-automate,advanced
Build expertise with WinAutomation,https://docs.microsoft.com/en-us/learn/paths/advanced-winautomation/,7,356,"2,253",17.36%,121,21,21,4173,7.565215356,180,217,learn-bizapps.advanced-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,advanced
Build Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/build-finance-operations/,12,"3,604","43,867",7.71%,"1,089",84,90,4173,47.00445339,"1,149",805,learn-dynamics.build-dynamics-365-finance-operations,developer,dynamics-365;dynamics-finance-operations,beginner
Build great solutions with the Microsoft Azure Well-Architected Framework,https://docs.microsoft.com/en-us/learn/paths/azure-well-architected-framework/,6,"18,108","126,095",5.95%,"4,205",250,270,4173,27.46380789,"4,173",338,learn.azure-well-architected-framework,solution-architect,azure;azure-storage;azure-sql-database;azure-cosmos-db;azure-cost-management;azure-advisor;azure-monitor;azure-cdn;azure-active-directory;azure-virtual-machines;azure-app-service;azure-resource-manager;azure-site-recovery;azure-backup;azure-expressroute,beginner
Build JavaScript applications by using TypeScript,https://docs.microsoft.com/en-us/learn/paths/build-javascript-applications-typescript/,8,"2,966","21,299",3.07%,"1,335",41,54,4173,18.20658575,749,376,learn.build-javascript-applications-typescript,student;developer,vs-code,intermediate
Build JavaScript applications with Node.js,https://docs.microsoft.com/en-us/learn/paths/build-javascript-applications-nodejs/,6,"8,443","38,329",2.03%,"3,106",63,50,4173,9.70144301,"2,383",171,learn.build-javascript-applications-nodejs,developer;student,azure,beginner
