,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
136,learn.wwl.perform-data-engineering-with-azure-synapse-apache-spark-pools,https://docs.microsoft.com/en-us/learn/paths/perform-data-engineering-with-azure-synapse-apache-spark-pools/,5,dp-203,Perform data engineering with Azure Synapse Apache Spark Pools,5,"2,837","44,720",22.46%,"1,772",398,423,2180,32.51815885,987,143,learn.wwl.perform-data-engineering-with-azure-synapse-apache-spark-pools,data-engineer,azure-synapse-analytics,intermediate,11,2021
137,learn.wwl.data-integration-scale-azure-data-factory,https://docs.microsoft.com/en-us/learn/paths/data-integration-scale-azure-data-factory/,8,dp-203,Data integration at scale Azure Data Factory,8,"9,018","155,652",9.67%,"5,955",576,621,2180,55.3886283,"2,833",348,learn.wwl.data-integration-scale-azure-data-factory,data-engineer;data-scientist,azure-data-factory;azure-synapse-analytics,intermediate,11,2021
138,learn.wwl.data-engineer-azure-databricks,https://docs.microsoft.com/en-us/learn/paths/data-engineer-azure-databricks/,15,dp-203,Data engineering with Azure Databricks,15,"8,543","132,582",5.36%,"5,205",279,303,2180,38.28069179,"4,102",617,learn.wwl.data-engineer-azure-databricks,data-engineer,azure-databricks,intermediate,11,2021
139,learn.data-ai.implement-data-streaming-with-asa,https://docs.microsoft.com/en-us/learn/paths/implement-data-streaming-with-asa/,3,dp-203,Implement a Data Streaming Solution with Azure Streaming Analytics,3,"8,534","80,897",17.83%,"2,025",361,367,2180,17.16674674,"3,967",138,learn.data-ai.implement-data-streaming-with-asa,data-engineer,azure;azure-portal;azure-storage;azure-stream-analytics,beginner,11,2021
140,learn.data-ai.data-processing-with-azure-adls,https://docs.microsoft.com/en-us/learn/paths/data-processing-with-azure-adls/,3,dp-203,Large-Scale Data Processing with Azure Data Lake Storage Gen2,3,"9,568","79,963",21.27%,"2,097",446,478,2180,17.82818771,"4,405",110,learn.data-ai.data-processing-with-azure-adls,data-engineer,azure;azure-portal;azure-storage;azure-virtual-machines,beginner,11,2021
141,learn.data-ai.azure-for-the-data-engineer,https://docs.microsoft.com/en-us/learn/paths/azure-for-the-data-engineer/,3,dp-203,Azure for the Data Engineer,3,"14,646","139,555",12.25%,"12,846","1,574","1,718",2180,31.82248851,"12,626",111,learn.data-ai.azure-for-the-data-engineer,data-engineer,azure;azure-portal;azure-storage;azure-virtual-machines,beginner,11,2021
142,learn.wwl.plan-implement-ha-dr-environment,https://docs.microsoft.com/en-us/learn/paths/plan-implement-high-availability-disaster-recovery-environment/,3,dp-300,Plan and implement an high availability and disaster recovery environment,3,"1,219","10,963",22.36%,805,180,201,2180,25.71979765,"1,071",153,learn.wwl.plan-implement-ha-dr-environment,data-analyst;data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,11,2021
143,learn.wwl.plan-implement-data-platform-resources,https://docs.microsoft.com/en-us/learn/paths/plan-implement-data-platform-resources/,4,dp-300,Plan and implement data platform resources,4,"4,951","88,173",93.81%,"1,567","1,470","1,476",2180,25.02668148,"1,500",198,learn.wwl.plan-implement-data-platform-resources,data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,11,2021
144,learn.wwl.optimize-query-performance-sql-server,https://docs.microsoft.com/en-us/learn/paths/optimize-query-performance-sql-server/,3,dp-300,Optimize query performance in SQL Server,3,"5,409","69,008",63.79%,"3,046","1,943","2,176",2180,21.39842238,"3,098",159,learn.wwl.optimize-query-performance-sql-server,data-analyst;data-engineer;database-administrator;developer,azure-sql-database;sql-server,intermediate,11,2021
145,learn.wwl.monitor-optimize-operational-resources-sql-server,https://docs.microsoft.com/en-us/learn/paths/monitor-optimize-operational-resources-sql-server/,5,dp-300,Monitor and optimize operational resources in SQL Server,5,"3,593","93,343",183.93%,"1,033","1,900","2,147",2180,27.76306244,903,190,learn.wwl.monitor-optimize-operational-resources-sql-server,administrator,azure,intermediate,11,2021
146,learn.wwl.implement-secure-environment-database-service,https://docs.microsoft.com/en-us/learn/paths/implement-secure-environment-database-service/,3,dp-300,Implement a secure environment for a database service,3,"3,702","71,231",155.21%,"1,257","1,951","2,128",2180,24.69736179,"1,495",150,learn.wwl.implement-secure-environment-database-service,data-analyst;data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,11,2021
147,learn.wwl.automate-tasks-sql-server,https://docs.microsoft.com/en-us/learn/paths/automate-tasks-sql-server/,3,dp-300,Automate tasks in SQL Server,3,"3,874","68,405",112.02%,"1,714","1,920","2,243",2180,18.04770263,"1,870",129,learn.wwl.automate-tasks-sql-server,data-analyst;data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,11,2021
148,learn.azure-sql-fundamentals,https://docs.microsoft.com/en-us/learn/paths/azure-sql-fundamentals/,6,dp-300,Azure SQL fundamentals,6,"16,610","285,554",22.43%,"9,998","2,243","2,595",2180,43.94832531,"6,930",434,learn.azure-sql-fundamentals,database-administrator;administrator;solution-architect,azure;azure-sql-database,beginner,11,2021
149,learn.wwl.azure-data-fundamentals-explore-relational-data,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-relational-data/,3,dp-900,Microsoft Azure Data Fundamentals: Explore relational data in Azure,3,"11,645","170,225",26.63%,"8,702","2,317","2,548",2180,49.20435666,"6,421",87,learn.wwl.azure-data-fundamentals-explore-relational-data,administrator;business-user;data-engineer;student,azure,beginner,11,2021
150,learn.wwl.azure-data-fundamentals-explore-non-relational-data,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-non-relational-data/,3,dp-900,Microsoft Azure Data Fundamentals: Explore non-relational data in Azure,3,"8,803","126,214",26.66%,"7,172","1,912","2,101",2180,53.06740694,"5,448",144,learn.wwl.azure-data-fundamentals-explore-non-relational-data,administrator;business-user;data-engineer;student,azure,beginner,11,2021
151,learn.wwl.azure-data-fundamentals-explore-data-warehouse-analytics,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-data-warehouse-analytics/,3,dp-900,Microsoft Azure Data Fundamentals: Explore modern data warehouse analytics in Azure,3,"107,569","484,667",33.75%,"7,233","2,441","2,419",2180,12.39459634,"6,365",126,learn.wwl.azure-data-fundamentals-explore-data-warehouse-analytics,administrator;business-user;data-engineer,azure,beginner,11,2021
152,learn.wwl.azure-data-fundamentals-explore-core-data-concepts,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-core-data-concepts/,5,dp-900,Microsoft Azure Data Fundamentals: Explore core data concepts,5,"26,229","360,035",16.52%,"21,358","3,528","3,872",2180,48.8998278,"13,466",99,learn.wwl.azure-data-fundamentals-explore-core-data-concepts,administrator;business-user;data-engineer;student,azure,beginner,11,2021
153,learn-dynamics.implementing-customer-engagement-online,https://docs.microsoft.com/en-us/learn/paths/implementing-customer-engagement-apps/,4,mb-200,"Work with Microsoft Power Platform tenants, environments, subscriptions, and Dynamics 365 apps",4,"5,819","174,514",199.35%,"1,535","3,060","3,420",2180,42.63138569,"2,239",315,learn-dynamics.implementing-customer-engagement-online,administrator;business-user;functional-consultant,dynamics-365;power-platform,intermediate,11,2021
154,learn-dynamics.implementing-customer-engagement-online,https://docs.microsoft.com/en-us/learn/paths/implementing-customer-engagement-apps/,4,pl-400,"Work with Microsoft Power Platform tenants, environments, subscriptions, and Dynamics 365 apps",4,"5,819","174,514",199.35%,"1,535","3,060","3,420",2180,42.63138569,"2,239",315,learn-dynamics.implementing-customer-engagement-online,administrator;business-user;functional-consultant,dynamics-365;power-platform,intermediate,11,2021
155,learn-bizapps.get-started-power-apps-portals,https://docs.microsoft.com/en-us/learn/paths/get-started-power-apps-portals/,5,mb-200,Get Started with Power Apps portals,5,"2,938","18,358",3.61%,"1,854",67,73,2180,17.63178466,"1,537",188,learn-bizapps.get-started-power-apps-portals,maker;functional-consultant;administrator,power-platform;power-apps,intermediate,11,2021
156,learn-bizapps.extend-power-apps-portals,https://docs.microsoft.com/en-us/learn/paths/extend-power-apps-portals/,3,mb-200,Extend Power Apps portals,3,"5,391","90,623",264.15%,"1,152","3,043","3,362",2180,23.12138131,859,142,learn-bizapps.extend-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced,11,2021
157,learn-bizapps.extend-power-apps-portals,https://docs.microsoft.com/en-us/learn/paths/extend-power-apps-portals/,3,pl-400,Extend Power Apps portals,3,"5,391","90,623",264.15%,"1,152","3,043","3,362",2180,23.12138131,859,142,learn-bizapps.extend-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced,11,2021
158,learn-bizapps.create-use-analytics-reports-power-bi,https://docs.microsoft.com/en-us/learn/paths/create-use-analytics-reports-power-bi/,6,mb-200,Create and use analytics reports with Power BI,6,"133,086","816,276",7.32%,"26,898","1,968","2,134",2180,14.36697824,"29,137",375,learn-bizapps.create-use-analytics-reports-power-bi,business-user;functional-consultant;data-analyst,power-platform;power-bi,beginner,11,2021
159,learn-bizapps.create-use-analytics-reports-power-bi,https://docs.microsoft.com/en-us/learn/paths/create-use-analytics-reports-power-bi/,6,mb-210,Create and use analytics reports with Power BI,6,"133,086","816,276",7.32%,"26,898","1,968","2,134",2180,14.36697824,"29,137",375,learn-bizapps.create-use-analytics-reports-power-bi,business-user;functional-consultant;data-analyst,power-platform;power-bi,beginner,11,2021
160,learn-bizapps.create-use-analytics-reports-power-bi,https://docs.microsoft.com/en-us/learn/paths/create-use-analytics-reports-power-bi/,6,mb-400,Create and use analytics reports with Power BI,6,"133,086","816,276",7.32%,"26,898","1,968","2,134",2180,14.36697824,"29,137",375,learn-bizapps.create-use-analytics-reports-power-bi,business-user;functional-consultant;data-analyst,power-platform;power-bi,beginner,11,2021
161,learn-bizapps.create-use-analytics-reports-power-bi,https://docs.microsoft.com/en-us/learn/paths/create-use-analytics-reports-power-bi/,6,pl-100,Create and use analytics reports with Power BI,6,"133,086","816,276",7.32%,"26,898","1,968","2,134",2180,14.36697824,"29,137",375,learn-bizapps.create-use-analytics-reports-power-bi,business-user;functional-consultant;data-analyst,power-platform;power-bi,beginner,11,2021
162,learn-bizapps.create-use-analytics-reports-power-bi,https://docs.microsoft.com/en-us/learn/paths/create-use-analytics-reports-power-bi/,6,pl-200,Create and use analytics reports with Power BI,6,"133,086","816,276",7.32%,"26,898","1,968","2,134",2180,14.36697824,"29,137",375,learn-bizapps.create-use-analytics-reports-power-bi,business-user;functional-consultant;data-analyst,power-platform;power-bi,beginner,11,2021
163,learn-bizapps.create-use-analytics-reports-power-bi,https://docs.microsoft.com/en-us/learn/paths/create-use-analytics-reports-power-bi/,6,pl-400,Create and use analytics reports with Power BI,6,"133,086","816,276",7.32%,"26,898","1,968","2,134",2180,14.36697824,"29,137",375,learn-bizapps.create-use-analytics-reports-power-bi,business-user;functional-consultant;data-analyst,power-platform;power-bi,beginner,11,2021
164,learn-bizapps.create-powerapps,https://docs.microsoft.com/en-us/learn/paths/create-powerapps/,3,mb-200,Create a canvas app in Power Apps,3,"64,845","491,486",39.47%,"17,157","6,772","5,663",2180,19.126313,"12,081",134,learn-bizapps.create-powerapps,business-user;functional-consultant;maker,power-platform;power-apps,beginner,11,2021
165,learn-bizapps.create-powerapps,https://docs.microsoft.com/en-us/learn/paths/create-powerapps/,3,pl-100,Create a canvas app in Power Apps,3,"64,845","491,486",39.47%,"17,157","6,772","5,663",2180,19.126313,"12,081",134,learn-bizapps.create-powerapps,business-user;functional-consultant;maker,power-platform;power-apps,beginner,11,2021
166,learn-bizapps.create-powerapps,https://docs.microsoft.com/en-us/learn/paths/create-powerapps/,3,pl-200,Create a canvas app in Power Apps,3,"64,845","491,486",39.47%,"17,157","6,772","5,663",2180,19.126313,"12,081",134,learn-bizapps.create-powerapps,business-user;functional-consultant;maker,power-platform;power-apps,beginner,11,2021
167,learn-bizapps.create-powerapps,https://docs.microsoft.com/en-us/learn/paths/create-powerapps/,3,pl-400,Create a canvas app in Power Apps,3,"64,845","491,486",39.47%,"17,157","6,772","5,663",2180,19.126313,"12,081",134,learn-bizapps.create-powerapps,business-user;functional-consultant;maker,power-platform;power-apps,beginner,11,2021
168,learn-bizapps.create-app-models-business-processes,https://docs.microsoft.com/en-us/learn/paths/create-app-models-business-processes/,4,mb-200,Create a model-driven application in Power Apps,4,"20,501","312,494",69.98%,"6,926","4,847","4,584",2180,33.98148789,"7,498",249,learn-bizapps.create-app-models-business-processes,business-user;functional-consultant;maker,power-platform;power-apps,beginner,11,2021
169,learn-bizapps.create-app-models-business-processes,https://docs.microsoft.com/en-us/learn/paths/create-app-models-business-processes/,4,pl-100,Create a model-driven application in Power Apps,4,"20,501","312,494",69.98%,"6,926","4,847","4,584",2180,33.98148789,"7,498",249,learn-bizapps.create-app-models-business-processes,business-user;functional-consultant;maker,power-platform;power-apps,beginner,11,2021
170,learn-bizapps.create-app-models-business-processes,https://docs.microsoft.com/en-us/learn/paths/create-app-models-business-processes/,4,pl-200,Create a model-driven application in Power Apps,4,"20,501","312,494",69.98%,"6,926","4,847","4,584",2180,33.98148789,"7,498",249,learn-bizapps.create-app-models-business-processes,business-user;functional-consultant;maker,power-platform;power-apps,beginner,11,2021
171,learn-bizapps.create-app-models-business-processes,https://docs.microsoft.com/en-us/learn/paths/create-app-models-business-processes/,4,pl-400,Create a model-driven application in Power Apps,4,"20,501","312,494",69.98%,"6,926","4,847","4,584",2180,33.98148789,"7,498",249,learn-bizapps.create-app-models-business-processes,business-user;functional-consultant;maker,power-platform;power-apps,beginner,11,2021
172,learn-bizapps.automate-process-using-flow,https://docs.microsoft.com/en-us/learn/paths/automate-process-power-automate/,7,mb-200,Automate a business process using Power Automate,7,"44,980","365,181",22.89%,"16,953","3,880","3,735",2180,16.74217208,"11,398",297,learn-bizapps.automate-process-using-flow,business-user;functional-consultant;maker;administrator,power-platform;power-automate,beginner,11,2021
173,learn-bizapps.automate-process-using-flow,https://docs.microsoft.com/en-us/learn/paths/automate-process-power-automate/,7,pl-100,Automate a business process using Power Automate,7,"44,980","365,181",22.89%,"16,953","3,880","3,735",2180,16.74217208,"11,398",297,learn-bizapps.automate-process-using-flow,business-user;functional-consultant;maker;administrator,power-platform;power-automate,beginner,11,2021
174,learn-bizapps.automate-process-using-flow,https://docs.microsoft.com/en-us/learn/paths/automate-process-power-automate/,7,pl-200,Automate a business process using Power Automate,7,"44,980","365,181",22.89%,"16,953","3,880","3,735",2180,16.74217208,"11,398",297,learn-bizapps.automate-process-using-flow,business-user;functional-consultant;maker;administrator,power-platform;power-automate,beginner,11,2021
175,learn-bizapps.automate-process-using-flow,https://docs.microsoft.com/en-us/learn/paths/automate-process-power-automate/,7,pl-400,Automate a business process using Power Automate,7,"44,980","365,181",22.89%,"16,953","3,880","3,735",2180,16.74217208,"11,398",297,learn-bizapps.automate-process-using-flow,business-user;functional-consultant;maker;administrator,power-platform;power-automate,beginner,11,2021
176,learn-dynamics.dynamics-365-for-sales,https://docs.microsoft.com/en-us/learn/paths/working-with-dynamics-365-sales/,8,mb-210,Working with Dynamics 365 Sales,8,"8,035","115,545",38.02%,"2,801","1,065","1,081",2180,31.54802531,"2,386",461,learn-dynamics.dynamics-365-for-sales,functional-consultant,dynamics-365;dynamics-sales,intermediate,11,2021
177,learn-bizapps.applying-goal-management,https://docs.microsoft.com/en-us/learn/paths/apply-goal-management-dynamics-365/,2,mb-210,Implement goal management in Dynamics 365 Sales and Customer Service,2,"1,862","19,170",103.30%,909,939,"1,037",2180,15.09365378,"1,286",78,learn-bizapps.applying-goal-management,business-user;functional-consultant,dynamics-365;dynamics-sales;dynamics-customer-service,beginner,11,2021
178,learn-dynamics.work-core-features-marketing,https://docs.microsoft.com/en-us/learn/paths/work-core-features-marketing/,7,mb-220,Work with core features in Dynamics 365 Marketing,7,982,"13,384",10.79%,630,68,63,2180,45.24825187,925,458,learn-dynamics.work-core-features-marketing,administrator;functional-consultant;business-user,dynamics-365;dynamics-marketing,intermediate,11,2021
179,learn-dynamics.set-up-dynamics-365-marketing,https://docs.microsoft.com/en-us/learn/paths/get-started-with-marketing/,3,mb-220,Set up Dynamics 365 Marketing and configure advanced settings,3,925,"8,901",11.40%,719,82,81,2180,35.83706306,963,157,learn-dynamics.set-up-dynamics-365-marketing,administrator;functional-consultant;business-user,dynamics-365;dynamics-marketing,intermediate,11,2021
180,learn-dynamics.manage-events-dynamics-marketing,https://docs.microsoft.com/en-us/learn/paths/manage-events-dynamics-365-marketing/,4,mb-220,Manage events in Dynamics 365 Marketing,4,553,"4,897",13.71%,394,54,54,2180,23.17179024,668,244,learn-dynamics.manage-events-dynamics-marketing,business-user;functional-consultant,dynamics-365;dynamics-marketing,intermediate,11,2021
181,learn-dynamics.analyze-marketing-insights,https://docs.microsoft.com/en-us/learn/paths/analyze-marketing-insights/,2,mb-220,Analyze insights in Dynamics 365 Marketing,2,348,"2,668",18.02%,283,51,54,2180,13.86374521,664,113,learn-dynamics.analyze-marketing-insights,administrator;functional-consultant;business-user,dynamics-365;dynamics-marketing,intermediate,11,2021
182,learn-dynamics.work-customer-service-omnichannel,https://docs.microsoft.com/en-us/learn/paths/work-customer-service-omnichannel/,9,mb-230,Connect and engage with customers with Omnichannel for Dynamics 365 Customer Service,9,"1,173","15,372",11.11%,603,67,68,2180,41.56710713,523,420,learn-dynamics.work-customer-service-omnichannel,administrator;functional-consultant;business-user,dynamics-365;dynamics-customer-service,intermediate,11,2021
183,learn-dynamics.work-customer-service-insights,https://docs.microsoft.com/en-us/learn/paths/work-customer-service-insights/,2,mb-230,Work with Customer Service Insights,2,645,"3,566",18.97%,369,70,53,2180,16.09516796,195,126,learn-dynamics.work-customer-service-insights,functional-consultant;business-user,dynamics-365;dynamics-customer-service,intermediate,11,2021
184,learn-bizapps.work-with-knowledge-management-solutions-dyn365-customer-service,https://docs.microsoft.com/en-us/learn/paths/work-with-knowledge-management-solutions-in-microsoft-dynamics-365-for-customer-service/,2,mb-230,Work with Knowledge Management Solutions in Dynamics 365 Customer Service,2,642,"4,822",18.85%,451,85,91,2180,27.2038162,940,120,learn-bizapps.work-with-knowledge-management-solutions-dyn365-customer-service,business-user;functional-consultant,dynamics-365;dynamics-customer-service,beginner,11,2021
185,learn-bizapps.work-with-entitlements-and-slas-dyn365-customer-service,https://docs.microsoft.com/en-us/learn/paths/work-with-entitlements-and-slas-in-microsoft-dynamics-365-for-customer-service/,2,mb-230,Work with entitlements and service level agreements in Dynamics 365 Customer Service,2,876,"5,950",21.50%,400,86,90,2180,24.89535769,824,128,learn-bizapps.work-with-entitlements-and-slas-dyn365-customer-service,business-user;functional-consultant,dynamics-365;dynamics-customer-service,beginner,11,2021
186,learn-bizapps.customer-service-hub-cases-slas,https://docs.microsoft.com/en-us/learn/paths/work-with-cases-in-dynamics-365-for-customer-service/,5,mb-230,Work with cases in Dynamics 365 Customer Service,5,"3,557","27,953",11.82%,"1,320",156,132,2180,27.64128479,"1,349",279,learn-bizapps.customer-service-hub-cases-slas,business-user;functional-consultant,dynamics-365;dynamics-customer-service,beginner,11,2021
187,learn-bizapps.universal-resource-scheduling,https://docs.microsoft.com/en-us/learn/paths/universal-resource-scheduling/,6,mb-240,Universal Resource Scheduling in Microsoft Dynamics 365 for Field Service,6,727,"6,392",5.13%,429,22,22,2180,31.68296653,528,447,learn-bizapps.universal-resource-scheduling,functional-consultant,dynamics-365;dynamics-field-service,intermediate,11,2021
188,learn-bizapps.implementing-dyn365-field-service,https://docs.microsoft.com/en-us/learn/paths/implementing-dyn365-field-service/,5,mb-240,Implement Microsoft Dynamics 365 Field Service,5,"1,073","11,073",8.70%,770,67,57,2180,39.3721808,746,382,learn-bizapps.implementing-dyn365-field-service,functional-consultant,dynamics-365;dynamics-field-service,intermediate,11,2021
189,learn-dynamics.use-lcs-to-design-and-plan-an-implementation-of-f-and-o,https://docs.microsoft.com/en-us/learn/paths/use-lcs-design-plan-implementation-finance-operations/,3,mb-300,Use Lifecycle Services to design and plan an implementation of Finance and Operations apps,3,"7,695","443,346",273.98%,"1,549","4,244","7,162",2180,21.73945203,"1,904",209,learn-dynamics.use-lcs-to-design-and-plan-an-implementation-of-f-and-o,functional-consultant;administrator;solution-architect,dynamics-365;dynamics-finance-operations,beginner,11,2021
190,learn-dynamics.use-lcs-to-design-and-plan-an-implementation-of-f-and-o,https://docs.microsoft.com/en-us/learn/paths/use-lcs-design-plan-implementation-finance-operations/,3,mb-700,Use Lifecycle Services to design and plan an implementation of Finance and Operations apps,3,"7,695","443,346",273.98%,"1,549","4,244","7,162",2180,21.73945203,"1,904",209,learn-dynamics.use-lcs-to-design-and-plan-an-implementation-of-f-and-o,functional-consultant;administrator;solution-architect,dynamics-365;dynamics-finance-operations,beginner,11,2021
191,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,https://docs.microsoft.com/en-us/learn/paths/migrate-data-go-live-finance-operations/,4,mb-300,Migrate data and go live with Finance and Operations apps,4,"7,273","410,236",366.27%,"1,097","4,018","7,152",2180,29.29553371,"1,807",258,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,functional-consultant;developer;solution-architect,dynamics-365;dynamics-finance-operations,intermediate,11,2021
192,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,https://docs.microsoft.com/en-us/learn/paths/migrate-data-go-live-finance-operations/,4,mb-500,Migrate data and go live with Finance and Operations apps,4,"7,273","410,236",366.27%,"1,097","4,018","7,152",2180,29.29553371,"1,807",258,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,functional-consultant;developer;solution-architect,dynamics-365;dynamics-finance-operations,intermediate,11,2021
193,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,https://docs.microsoft.com/en-us/learn/paths/migrate-data-go-live-finance-operations/,4,mb-700,Migrate data and go live with Finance and Operations apps,4,"7,273","410,236",366.27%,"1,097","4,018","7,152",2180,29.29553371,"1,807",258,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,functional-consultant;developer;solution-architect,dynamics-365;dynamics-finance-operations,intermediate,11,2021
194,learn-dynamics.get-started-with-dynamics-365-for-finance-and-operations,https://docs.microsoft.com/en-us/learn/paths/get-started-finance-operations/,6,mb-300,Get started with Finance and Operations apps,6,"20,427","1,038,134",61.97%,"6,405","3,969","7,362",2180,42.236331,"5,296",445,learn-dynamics.get-started-with-dynamics-365-for-finance-and-operations,business-user;functional-consultant;administrator,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,beginner,11,2021
195,learn-dynamics.configure-your-organization-in-finance-and-ops,https://docs.microsoft.com/en-us/learn/paths/configure-your-organization-finance-ops/,8,mb-300,Configure your organization in Finance and Operations apps,8,"3,147","50,499",12.63%,"1,188",150,138,2180,102.7358437,"1,833",737,learn-dynamics.configure-your-organization-in-finance-and-ops,business-user;functional-consultant;administrator,dynamics-365;dynamics-finance-operations,intermediate;advanced,11,2021
196,learn-dynamics.configure-analytics-reporting-finance-operations,https://docs.microsoft.com/en-us/learn/paths/configure-analytics-reporting-finance-operations/,2,mb-300,Configure and work with analytics and reporting in Finance and Operations apps,2,"6,338","231,108",484.40%,827,"4,006","7,144",2180,23.92750079,"1,343",127,learn-dynamics.configure-analytics-reporting-finance-operations,functional-consultant;business-user,dynamics-365;dynamics-finance-operations;dynamics-finance,intermediate,11,2021
197,learn-dynamics.work-with-accounts-payable-in-dynamics-365-for-finance-and-ops,https://docs.microsoft.com/en-us/learn/paths/work-accounts-payable-dyn365-finance/,3,mb-310,Work with accounts payable in Dynamics 365 Finance,3,875,"10,120",7.50%,613,46,50,2180,64.18788571,812,375,learn-dynamics.work-with-accounts-payable-in-dynamics-365-for-finance-and-ops,business-user;functional-consultant,dynamics-365;dynamics-finance;dynamics-finance-operations,intermediate,11,2021
198,learn-dynamics.work-expense-management,https://docs.microsoft.com/en-us/learn/paths/work-expense-management/,4,mb-310,Work with Expense management in Dynamics 365 Project Operations,4,671,"6,375",12.85%,249,32,34,2180,16.37426726,203,345,learn-dynamics.work-expense-management,business-user;functional-consultant;administrator,dynamics-365;dynamics-project-operations;dynamics-finance;dynamics-finance-operations,intermediate,11,2021
199,learn-dynamics.work-accounts-receivable-d365-finance-ops,https://docs.microsoft.com/en-us/learn/paths/work-accounts-receivable-dyn365-finance/,4,mb-310,Work with accounts receivable in Dynamics 365 Finance,4,961,"10,813",7.69%,533,41,44,2180,33.28692334,810,430,learn-dynamics.work-accounts-receivable-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-finance-operations,intermediate,11,2021
200,learn-dynamics.get-started-cost-accounting-supply-chains-dyn365-finance,https://docs.microsoft.com/en-us/learn/paths/get-started-cost-accounting-supply-chains-dyn365-finance/,1,mb-310,Get started with cost accounting for supply chains in Dynamics 365 Finance,1,591,"2,250",13.79%,406,56,63,2180,9.863761985,765,56,learn-dynamics.get-started-cost-accounting-supply-chains-dyn365-finance,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-scm;dynamics-finance-operations,beginner,11,2021
201,learn-dynamics.configure-use-general-ledger-dynamics-365-finance-ops,https://docs.microsoft.com/en-us/learn/paths/configure-use-general-ledger-dyn365-finance/,9,mb-310,Configure and use the general ledger in Dynamics 365 Finance,9,"11,167","278,339",7.26%,"1,667",121,83,2180,26.79565386,"1,343",810,learn-dynamics.configure-use-general-ledger-dynamics-365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-finance-operations,beginner,11,2021
202,learn-dynamics.configure-use-cash-bank-management-tax-d365-finance-ops,https://docs.microsoft.com/en-us/learn/paths/configure-use-cash-bank-management-tax-dyn365-finance/,5,mb-310,"Configure and use cash and bank management, and sales tax in Dynamics 365 Finance",5,"1,178","10,068",8.68%,380,33,36,2180,23.1442275,735,451,learn-dynamics.configure-use-cash-bank-management-tax-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-finance-operations,intermediate,11,2021
203,learn-dynamics.configure-use-budgeting-d365-finance-ops,https://docs.microsoft.com/en-us/learn/paths/configure-use-budgeting-dyn365-finance/,2,mb-310,Configure and use budgeting in Dynamics 365 Finance,2,602,"4,517",8.62%,429,37,41,2180,19.90711517,707,207,learn-dynamics.configure-use-budgeting-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-finance-operations,intermediate,11,2021
204,learn-dynamics.configure-manage-fixed-assets-d365-finance-ops,https://docs.microsoft.com/en-us/learn/paths/configure-manage-fixed-assets-dyn365-finance/,3,mb-310,Configure and manage fixed assets and Asset leasing in Dynamics 365 Finance,3,728,"10,275",13.65%,359,49,43,2180,36.24530678,638,409,learn-dynamics.configure-manage-fixed-assets-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-finance-operations,intermediate,11,2021
205,learn-dynamics.use-warehouse-in-manufacturing-dyn365-fo,https://docs.microsoft.com/en-us/learn/paths/use-warehouse-manufacturing-dyn365-supply-chain-mgmt/,3,mb-320,Use warehouse management in manufacturing in Dynamics 365 Supply Chain Management,3,"1,184","9,867",19.18%,219,42,25,2180,37.10838964,607,587,learn-dynamics.use-warehouse-in-manufacturing-dyn365-fo,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,11,2021
206,learn-dynamics.master-planning-supply-chain-management,https://docs.microsoft.com/en-us/learn/paths/master-planning-supply-chain-management/,2,mb-320,Master planning in Dynamics 365 Supply Chain Management,2,948,"10,330",11.13%,494,55,51,2180,31.13387834,261,395,learn-dynamics.master-planning-supply-chain-management,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,11,2021
