ID,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
230,learn-dynamics.reconcile-bank-accounts-dynamics-365-business-central,https://docs.microsoft.com/en-us/learn/paths/reconcile-bank-accounts-dynamics-365-business-central/,3,mb-800,Reconcile bank accounts in Microsoft Dynamics 365 Business Central,3,766,"6,411",21.02%,471,99,103,1757,21.44799826,636,113,learn-dynamics.reconcile-bank-accounts-dynamics-365-business-central,business-user;functional-consultant,dynamics-365;dynamics-business-central,intermediate,10,2021
231,learn-dynamics.purchase-items-services-dynamics-365-business-central,https://docs.microsoft.com/en-us/learn/paths/purchase-items-services-dynamics-365-business-central/,5,mb-800,Purchase items and services in Microsoft Dynamics 365 Business Central,5,"1,093","11,195",15.87%,605,96,103,1757,27.70361391,690,190,learn-dynamics.purchase-items-services-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,10,2021
232,learn-dynamics.process-customer-vendor-payments-dynamics-365-business-central,https://docs.microsoft.com/en-us/learn/paths/process-customer-vendor-payments-dynamics-365-business-central/,4,mb-800,Process customer and vendor payments in Microsoft Dynamics 365 Business Central,4,"1,056","11,897",17.28%,648,112,124,1757,23.14403409,686,186,learn-dynamics.process-customer-vendor-payments-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,10,2021
233,learn-dynamics.get-started-dynamics-365-business-central,https://docs.microsoft.com/en-us/learn/paths/get-started-dynamics-365-business-central/,3,mb-800,Get started with Microsoft Dynamics 365 Business Central,3,"6,125","54,829",8.35%,"4,287",358,335,1757,22.03079728,"2,855",188,learn-dynamics.get-started-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,beginner,10,2021
234,learn-dynamics.deploy-configure-dynamics-365-business-central,https://docs.microsoft.com/en-us/learn/paths/deploy-configure-dynamics-365-business-central/,8,mb-800,Deploy and configure Microsoft Dynamics 365 Business Central,8,"2,615","39,762",10.37%,"1,447",150,147,1757,38.68722116,"1,329",464,learn-dynamics.deploy-configure-dynamics-365-business-central,functional-consultant;administrator;business-user,dynamics-365;dynamics-business-central,intermediate,10,2021
235,learn.wwl.learn-fundamentals-microsoft-dynamics-365-project-operations-crm,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-project-operations-crm/,5,mb-910,Microsoft Dynamics 365 Fundamentals (CRM): Explore Dynamics 365 Project Operations,5,"7,594","94,838",22.31%,"1,815",405,436,1757,34.45989817,830,185,learn.wwl.learn-fundamentals-microsoft-dynamics-365-project-operations-crm,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-project-operations,beginner,10,2021
236,learn.wwl.learn-fundamentals-microsoft-dynamics-365-field-service,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-field-service/,6,mb-910,Microsoft Dynamics 365 Fundamentals (CRM): Explore Dynamics 365 Field Service,6,"7,301","93,196",22.52%,"1,412",318,353,1757,35.18954025,561,234,learn.wwl.learn-fundamentals-microsoft-dynamics-365-field-service,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-field-service,beginner,10,2021
237,learn.wwl.learn-fundamentals-microsoft-dynamics-365-customer-service,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-customer-service/,4,mb-910,Microsoft Dynamics 365 Fundamentals (CRM): Explore Dynamics 365 Customer Service,4,"7,761","94,280",18.26%,"2,420",442,484,1757,35.12959026,813,180,learn.wwl.learn-fundamentals-microsoft-dynamics-365-customer-service,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-customer-service,beginner,10,2021
238,learn.wwl.explore-microsoft-dynamics-365-sales,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-sales/,4,mb-910,Microsoft Dynamics 365 Fundamentals (CRM): Explore Dynamics 365 Sales,4,"8,766","108,897",15.26%,"3,507",535,596,1757,35.08201384,"1,091",191,learn.wwl.explore-microsoft-dynamics-365-sales,business-analyst;business-owner;functional-consultant;student,dynamics-365;dynamics-sales,beginner,10,2021
239,learn.wwl.explore-microsoft-dynamics-365-marketing,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-marketing/,4,mb-910,Microsoft Dynamics 365 Fundamentals (CRM): Explore Dynamics 365 Marketing,4,"10,047","115,027",9.19%,"6,811",626,674,1757,33.43325371,"1,431",163,learn.wwl.explore-microsoft-dynamics-365-marketing,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-marketing,beginner,10,2021
240,learn.wwl.learn-fundamentals-microsoft-dynamics-365-human-resources,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-human-resources/,3,mb-920,Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Human Resources,3,"3,375","39,343",20.86%,858,179,190,1757,41.69129877,319,105,learn.wwl.learn-fundamentals-microsoft-dynamics-365-human-resources,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-human-resources,beginner,10,2021
241,learn.wwl.learn-fundamentals-microsoft-dynamics-365-commerce,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-commerce/,3,mb-920,Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Commerce,3,"3,291","39,846",21.51%,753,162,171,1757,44.54839968,324,136,learn.wwl.learn-fundamentals-microsoft-dynamics-365-commerce,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-commerce;dynamics-fraud-protection,beginner,10,2021
242,learn.wwl.explore-microsoft-dynamics-365-supply-chain-management,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-supply-chain-management/,5,mb-920,Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Supply Chain Management,5,"4,228","60,484",8.02%,"2,617",210,221,1757,52.52277278,672,221,learn.wwl.explore-microsoft-dynamics-365-supply-chain-management,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-scm,beginner,10,2021
243,learn.wwl.explore-microsoft-dynamics-365-project-operations-erp,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-project-operations-erp/,3,mb-920,Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Project Operations,3,"3,430","42,753",24.89%,944,235,248,1757,44.30589893,403,158,learn.wwl.explore-microsoft-dynamics-365-project-operations-erp,business-owner;business-user;functional-consultant;student,dynamics-365,beginner,10,2021
244,learn.wwl.explore-microsoft-dynamics-365-finance,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-finance/,5,mb-920,Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Finance,5,"3,982","54,203",15.98%,"1,665",266,280,1757,46.29831324,539,184,learn.wwl.explore-microsoft-dynamics-365-finance,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-finance,beginner,10,2021
245,learn-m365.microsoft-365-get-modern,https://docs.microsoft.com/en-us/learn/paths/m365-getmodern/,9,md-100,Microsoft 365 - Modernize your enterprise deployment with Windows devices and Microsoft 365 ProPlus,9,"7,054","64,047",6.60%,"5,104",337,391,1757,22.67197335,"8,171",229,learn-m365.microsoft-365-get-modern,administrator,m365;windows;office-365,intermediate,10,2021
246,learn-m365.microsoft-365-get-modern,https://docs.microsoft.com/en-us/learn/paths/m365-getmodern/,9,md-101,Microsoft 365 - Modernize your enterprise deployment with Windows devices and Microsoft 365 ProPlus,9,"7,054","64,047",6.60%,"5,104",337,391,1757,22.67197335,"8,171",229,learn-m365.microsoft-365-get-modern,administrator,m365;windows;office-365,intermediate,10,2021
247,learn.endpoint-manager-fundamentals,https://docs.microsoft.com/en-us/learn/paths/endpoint-manager-fundamentals/,7,md-101,Microsoft Endpoint Manager fundamentals,7,"6,789","72,875",6.11%,"5,037",308,373,1757,28.76813473,"1,996",177,learn.endpoint-manager-fundamentals,administrator,mem,beginner,10,2021
248,learn-m365.manage-enterprise-deployment-m365,https://docs.microsoft.com/en-us/learn/paths/manage-enterprise-deployment-m365/,6,md-101,Manage your enterprise deployment with Microsoft 365,6,"4,608","30,633",11.00%,"2,145",236,274,1757,19.07573061,"5,622",157,learn-m365.manage-enterprise-deployment-m365,administrator,m365,beginner,10,2021
249,learn.wwl.plan-implement-identity-synchronization,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-synchronization/,5,ms-100,Plan and implement identity synchronization,5,"2,057","21,415",20.37%,702,143,159,1757,28.54292659,186,146,learn.wwl.plan-implement-identity-synchronization,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
250,learn.wwl.manage-your-microsoft-365-tenant,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-tenant/,5,ms-100,Manage your Microsoft 365 tenant,5,"1,052","13,843",18.52%,799,148,173,1757,39.02414449,270,184,learn.wwl.manage-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
251,learn.wwl.implement-applications-external-access-azure-ad,https://docs.microsoft.com/en-us/learn/paths/implement-applications-external-access-azure-ad/,3,ms-100,Implement applications and external access in Azure AD,3,595,"4,988",19.76%,506,100,112,1757,20.11168067,142,92,learn.wwl.implement-applications-external-access-azure-ad,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
252,learn.wwl.explore-microsoft-365-platform-services,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-365-platform-services/,8,ms-100,Explore the Microsoft 365 platform services,8,"2,114","22,546",11.99%,951,114,126,1757,31.78836329,317,268,learn.wwl.explore-microsoft-365-platform-services,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
253,learn.wwl.design-your-microsoft-365-tenant,https://docs.microsoft.com/en-us/learn/paths/design-microsoft-365-tenant/,6,ms-100,Design your Microsoft 365 tenant,6,"3,583","49,029",8.20%,"3,109",255,304,1757,46.4916969,380,245,learn.wwl.design-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
254,learn.wwl.configure-your-microsoft-365-tenant,https://docs.microsoft.com/en-us/learn/paths/configure-your-microsoft-365-tenant/,6,ms-100,Configure your Microsoft 365 tenant,6,"1,271","17,743",19.72%,989,195,230,1757,32.82980593,263,146,learn.wwl.configure-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
255,learn.wwl.prepare-for-device-management-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/prepare-for-device-management-microsoft-365/,5,ms-101,Prepare for device management in Microsoft 365,5,541,"3,714",11.38%,325,37,41,1757,15.90224892,151,142,learn.wwl.prepare-for-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
256,learn.wwl.plan-your-windows-10-deployment-strategy,https://docs.microsoft.com/en-us/learn/paths/plan-your-windows-10-deployment-strategy/,5,ms-101,Plan your Windows devices deployment strategy,5,465,"3,867",11.11%,288,32,36,1757,17.6216129,110,161,learn.wwl.plan-your-windows-10-deployment-strategy,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
257,learn.wwl.manage-your-microsoft-365-security-services,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-security-services/,5,ms-101,Manage your Microsoft 365 security services,5,859,"8,104",11.69%,522,61,71,1757,17.84705083,252,156,learn.wwl.manage-your-microsoft-365-security-services,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
258,learn.wwl.manage-data-governance-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/manage-data-governance-microsoft-365/,5,ms-101,Manage data governance in Microsoft 365,5,290,"2,718",17.26%,197,34,36,1757,17.17890805,132,155,learn.wwl.manage-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
259,learn.wwl.manage-content-search-investigations-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/manage-content-search-investigations-microsoft-365/,3,ms-101,Manage content search and investigations in Microsoft 365,3,493,"3,555",18.72%,203,38,43,1757,15.94009466,115,112,learn.wwl.manage-content-search-investigations-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
260,learn.wwl.introduction-to-microsoft-365-security-metrics,https://docs.microsoft.com/en-us/learn/paths/introduction-to-microsoft-365-security-metrics/,6,ms-101,Explore security metrics in Microsoft 365,6,"1,475","13,538",9.00%,822,74,85,1757,29.63225989,199,194,learn.wwl.introduction-to-microsoft-365-security-metrics,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
261,learn.wwl.introduction-to-data-governance-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/introduction-to-data-governance-microsoft-365/,6,ms-101,Explore data governance in Microsoft 365,6,571,"4,961",10.78%,334,36,39,1757,22.11278459,157,225,learn.wwl.introduction-to-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
262,learn.wwl.implement-mobile-device-management-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/implement-mobile-device-management-microsoft-365/,4,ms-101,Implement Mobile Device Management in Microsoft 365,4,602,"4,519",11.38%,325,37,39,1757,16.93028793,155,126,learn.wwl.implement-mobile-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
263,learn.wwl.implement-microsoft-365-threat-intelligence,https://docs.microsoft.com/en-us/learn/paths/implement-microsoft-365-threat-intelligence/,4,ms-101,Implement threat intelligence in Microsoft 365,4,920,"8,285",22.79%,294,67,77,1757,24.71032609,156,148,learn.wwl.implement-microsoft-365-threat-intelligence,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
264,learn.wwl.implement-data-governance-microsoft-365-intelligence,https://docs.microsoft.com/en-us/learn/paths/implement-data-governance-microsoft-365-intelligence/,7,ms-101,Implement data governance in Microsoft 365 intelligence,7,340,"3,587",14.16%,233,33,35,1757,18.31632353,111,203,learn.wwl.implement-data-governance-microsoft-365-intelligence,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,10,2021
265,learn-m365.m365-messaging-secure-environment,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-secure-environment/,3,ms-203,Secure the Microsoft 365 Messaging environment,3,901,"6,966",12.84%,522,67,80,1757,20.27791343,"1,014",101,learn-m365.m365-messaging-secure-environment,administrator,m365;office-365;office-exchange-server,intermediate,10,2021
266,learn-m365.m365-messaging-hybrid-migration,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-hybrid-migration/,3,ms-203,Plan a Microsoft 365 Messaging hybrid configuration and migration,3,"2,017","16,072",7.94%,"1,587",126,149,1757,22.66366716,"1,052",84,learn-m365.m365-messaging-hybrid-migration,administrator,m365;office-365;office-exchange-server,intermediate,10,2021
267,learn-m365.m365-messaging-architecture,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-architecture/,7,ms-203,Manage Microsoft 365 messaging organizational settings and architecture,7,"1,623","16,486",8.47%,"1,015",86,100,1757,29.00348121,"1,112",211,learn-m365.m365-messaging-architecture,administrator,m365;office-365;office-exchange-server,intermediate,10,2021
268,learn.wwl.manage-governance-compliance-features-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/manage-governance-compliance-features-microsoft-365/,10,ms-500,MS-500 part 4: Manage Governance and Compliance Features in Microsoft 365,10,"2,469","24,044",10.58%,822,87,108,1757,23.21086135,117,458,learn.wwl.manage-governance-compliance-features-microsoft-365,administrator;security-engineer;technology-manager,office-365,intermediate,10,2021
269,learn.wwl.implement-manage-threat-protection,https://docs.microsoft.com/en-us/learn/paths/implement-manage-threat-protection/,12,ms-500,MS-500 part 2 - Implement and manage threat protection,12,"8,115","75,603",9.37%,"1,355",127,154,1757,26.27956459,155,412,learn.wwl.implement-manage-threat-protection,administrator;security-engineer;technology-manager,defender-identity;defender-office365,intermediate,10,2021
270,learn.wwl.implement-manage-information-protection,https://docs.microsoft.com/en-us/learn/paths/implement-manage-information-protection/,7,ms-500,MS-500 part 3 - Implement and manage information protection,7,"1,859","26,482",21.96%,847,186,192,1757,35.12946028,126,342,learn.wwl.implement-manage-information-protection,administrator;security-engineer;technology-manager,office-365,intermediate,10,2021
271,learn.wwl.implement-manage-identity-access,https://docs.microsoft.com/en-us/learn/paths/implement-manage-identity-access/,10,ms-500,MS-500 part 1 - Implement and manage identity and access,10,"6,782","109,391",5.07%,"3,749",190,225,1757,52.04555195,241,483,learn.wwl.implement-manage-identity-access,administrator;security-engineer;technology-manager,azure-active-directory,intermediate,10,2021
272,learn-m365.msteams-associate,https://docs.microsoft.com/en-us/learn/paths/m365-msteams-associate/,8,ms-600,Develop apps for Microsoft Teams – Associate,8,"6,428","42,811",8.02%,"1,670",134,141,1757,20.18441195,"2,966",559,learn-m365.msteams-associate,developer,m365;office-teams,intermediate,10,2021
273,learn-m365.msgraph-associate,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-associate/,7,ms-600,Build apps with Microsoft Graph – Associate,7,"3,620","24,160",6.64%,"1,205",80,91,1757,20.45090239,"1,947",461,learn-m365.msgraph-associate,developer,ms-graph;m365,intermediate,10,2021
274,learn-m365.m365-extend-fundamental,https://docs.microsoft.com/en-us/learn/paths/m365-extend-fundamental/,4,ms-600,Extend Microsoft 365 – Fundamental,4,"7,271","40,628",5.40%,"4,186",226,249,1757,15.51537157,"5,853",169,learn-m365.m365-extend-fundamental,developer,m365;office-teams;office-sp-framework;office-add-ins,beginner,10,2021
275,learn-m365.identity-associate,https://docs.microsoft.com/en-us/learn/paths/m365-identity-associate/,5,ms-600,Implement Microsoft identity – Associate,5,"2,765","20,345",11.69%,907,106,117,1757,20.3308921,"2,202",342,learn-m365.identity-associate,developer,m365;azure-active-directory,intermediate,10,2021
276,learn.wwl.prepare-environment-for-microsoft-teams-deployment,https://docs.microsoft.com/en-us/learn/paths/prepare-environment-for-microsoft-teams-deployment/,5,ms-700,Prepare the environment for a Microsoft Teams deployment,5,"1,571","24,086",16.24%,"1,287",209,233,1757,42.91564821,206,243,learn.wwl.prepare-environment-for-microsoft-teams-deployment,administrator,m365;office-teams,intermediate,10,2021
277,learn.wwl.manage-meetings-calling-microsoft-teams,https://docs.microsoft.com/en-us/learn/paths/manage-meetings-calling-microsoft-teams/,5,ms-700,Manage meetings and calling in Microsoft Teams,5,"1,446","19,802",13.84%,"1,185",164,188,1757,33.29047948,274,276,learn.wwl.manage-meetings-calling-microsoft-teams,administrator,m365;office-teams,intermediate,10,2021
278,learn.wwl.manage-chat-teams-channels-apps-microsoft-teams,https://docs.microsoft.com/en-us/learn/paths/manage-chat-teams-channels-apps-microsoft-teams/,3,ms-700,"Manage chat, teams, channels, and apps in Microsoft Teams",3,"1,453","14,426",16.93%,"1,282",217,239,1757,22.72772425,305,153,learn.wwl.manage-chat-teams-channels-apps-microsoft-teams,administrator,m365;office-teams,intermediate,10,2021
279,learn.wwl.get-started-managing-microsoft-teams,https://docs.microsoft.com/en-us/learn/paths/get-started-managing-microsoft-teams/,4,ms-700,Get started with managing Microsoft Teams,4,"5,241","63,704",9.61%,"4,497",432,478,1757,41.64297208,518,206,learn.wwl.get-started-managing-microsoft-teams,administrator,m365;office-teams,intermediate,10,2021
280,learn.wwl.troubleshoot-microsoft-365-teams,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,8,ms-740,Troubleshoot Microsoft Teams,8,"2,205","20,017",4.78%,"1,651",79,89,1757,24.95494331,529,314,learn.wwl.troubleshoot-microsoft-365-teams,support-engineer,m365;office-teams,advanced,10,2021
281,learn.wwl.m365-security-compliance-capabilities,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,7,ms-900,Demonstrate fundamental knowledge of Microsoft 365 security and compliance capabilities,7,"22,676","272,916",25.11%,"5,268","1,323","1,418",1757,25.72791277,"5,562",171,learn.wwl.m365-security-compliance-capabilities,business-owner;business-user,m365,beginner,10,2021
282,learn.wwl.m365-productivity-teamwork-solutions,https://docs.microsoft.com/en-us/learn/paths/m365-productivity-teamwork-solutions/,5,ms-900,Demonstrate fundamental knowledge of Microsoft 365 productivity and teamwork solutions,5,"26,030","318,293",12.53%,"17,320","2,171","2,386",1757,23.99382507,"10,936",125,learn.wwl.m365-productivity-teamwork-solutions,business-owner;business-user,m365;office-365,beginner,10,2021
283,learn.wwl.m365-licensing-service-support,https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,5,ms-900,"Demonstrate fundamental knowledge of Microsoft 365 licensing, service and support",5,"19,604","194,027",28.61%,"4,037","1,155","1,313",1757,17.14573556,"5,181",67,learn.wwl.m365-licensing-service-support,business-owner;business-user,m365;office-365,beginner,10,2021
284,learn.wwl.m365-business-management-solutions,https://docs.microsoft.com/en-us/learn/paths/m365-business-management-solutions/,5,ms-900,Demonstrate fundamental knowledge of Microsoft 365 business management solutions,5,"20,602","233,656",23.75%,"5,667","1,346","1,506",1757,25.0709478,"5,634",135,learn.wwl.m365-business-management-solutions,business-owner;business-user,m365;office-365,beginner,10,2021
